,Unnamed: 0,Emotion,Sentence
51,535,Sadness,mình thi xong còn không khóc được 
52,1442,Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí"
53,1064,Sadness,"per trừ điểm , trừ điểm"
54,864,Disgust,"5 triệu , phạt một con mụ lừa_đảo , phá_huỷ niềm tin phật_giáo , làm ô_uế đời_sống tâm_linh ... thật rẻ_rúng làm_sao !"
55,971,Sadness,cả tuần không được nói_chuyện
56,597,Anger,per mày cẩn_thận tao giết
57,17,Disgust,cạn_lời với bọn súc_vật này làm xấu mặt người bắc_giang 
58,541,Other,bài này tao có 2 cảm_xúc . đầu_tiên về quán trà . đến cảm_xúc quen lại c thy xong bị mẹ cấm : ) )
59,690,Enjoyment,đẹp_trai quá
60,131,Anger,đóng cái lồn tao nè chứ đóng
61,651,Sadness,"khổ_thân người_dân , trước dự_án cao_su là dự_án cà_phê , làm thêm dự_án nữa coi như một đời bỏ phí"
62,984,Sadness,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm "
63,246,Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi = ) ) ) ) ) ) ) )
64,780,Disgust,ngẫm_nghĩ cha của thánh gióng với sọ_dừa ăn mặn vãi .
65,161,Disgust,"con cần bảo_vệ thì giết sạch còn con cần tiêu_diệt thì lại đem nuôi , cuộc_sống lạ_lùng vãi "
66,75,Enjoyment,dù_sao thì con trai vẫn nên là người mở lời trước à 藍藍藍藍藍藍
67,514,Sadness,ad cho hỏi nghệ_an lúc_nào mưa vậy ah  .. ốm cũng cam_lòng chứ vã lắm rồi 掠掠
68,1088,Sadness,giận ngược_lại rồi giận luôn chứ có huề đéo đâu : ( ( (
69,72,Enjoyment,per tao được làm fan cứng giống mày rồi 藍
70,1714,Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá !
71,270,Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung_quanh như_thế_nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
72,603,Enjoyment,ôi bé xinh gái vãi : ) )
73,1212,Enjoyment,cười sái mẹ quai_hàm
74,1041,Sadness,rồi khi mày có 1 ít tiền : ) ) mày mới phát_hiện ra còn đéo cả có người đi cùng cơ
75,1214,Sadness,tự_dưng cay mẹ mắt
76,376,Fear,tao sợ thật_sự : ( ( (
77,1475,Enjoyment,per thịt nướng lò xô ne ăn z mà không chết 
78,530,Enjoyment,tốt quá
79,1319,Enjoyment,ông nào viết vui_tính thế = ) ) cưng thật
80,1946,Surprise,không hiểu sao nhìu người lại thả haha nhỉ ? ?
81,313,Disgust,diễn_viên già vãi - . -
82,21,Enjoyment,ghét nhất mấy loại bép_xép thế thôi . nhanh gọn lẹ 
83,1464,Enjoyment,cưng quá đi
84,1618,Surprise,nhìn mẫu này lạ_mắt mà đẹp quá
85,632,Sadness,tao cay mẹ khoé mắt
86,1768,Disgust,thấy mệt thêm chứ chẳng khoẻ gì cả .
87,559,Enjoyment,": ) ) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !"
88,120,Enjoyment,"cảm_ơn nói_chuyện nhật ! 1 nền khoa_học , giáo_dục , trí_tuệ văn_minh ! ! "
89,1455,Disgust,tao mệt chúng_mày quá
90,705,Enjoyment,hahaha lúc trước ca làm có 4 chị_em vui biết_bao : ) )
91,1068,Disgust,đụ thế kia thì có khác_nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 
92,650,Other,các bạn đang bảo con này ah 
93,498,Enjoyment,má chủ dễ_thương vậy tao cũng muốn xin
94,995,Enjoyment,"kinh_nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu "
95,698,Sadness,"có những con_người luôn phải chịu đắng_cay , cta không được chọn gia_đình , bạn_bè và càng không có quyền lựa_chọn cuộc_sống này . hãy vui lên với tất_cả những gì ta đang có dù là hai_bàn_tay_trắng"
96,601,Anger,địt_mẹ không có cái loại nào nó ác man và tàn_độc hơn là cái loại người . xem mà điên đéo chịu được
97,1613,Enjoyment,nhìn thương quá ... lao_động nghiêm_túc
98,1033,Sadness,đm thực_tế như này còn hay . tiếc là đéo ở gần mình = ) )
99,1119,Other,per mấy trụ kia em không tag được
100,312,Anger,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
101,1858,Surprise,per ơ ơ ơ đây là đâu vậy
102,1862,Anger,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ... ! ! !
103,692,Disgust,"thằng nào nói câu : thế_thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở_cửa cho chúng_mày vô àk , người có ăn học có ý_thức sẽ không nói ra câu đó ."
104,968,Disgust,k phải là trời không cho mày yêu . vì m quá ngulon
105,152,Fear,"per tặng quà_cáp gì tặng hộp nhỏ thôi nha . đi hát_hò gì đừng đem thùng quà to như_vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó : ( ("
106,1329,Sadness,hết tiền rồi này
107,415,Enjoyment,"đẹp , dẽ thương mà"
108,1115,Anger,tử_hình con_mẹ nó lũ chó_má không có tính người đi . khổ_thân lũ trẻ
109,850,Enjoyment,phim xem hay ... nhẹ_nhàng tình_cảm ... và cười vkl
110,1099,Sadness,thế làm_sao dỗ bạn gái đang giận : (
111,428,Anger,t nói thật tao hiền lắm . chứ bà lồn to kia_mà gặp tao là ăn mấy cái mũ_bảo_hiểm vào mặt rồi : )
112,31,Fear,loài này bé như ngón tay phàm_ăn lắm sợ luôn
113,178,Disgust,"phí dịch_vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái_độ làm_việc bố_láo nhất , ít ưu_đãi nhất ...."
114,881,Disgust,dume trailer kinh_dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
115,1136,Sadness,chẳng đủ dịu_dàng để níu bước chân_anh
116,918,Other,1 cái xe cup này ngày_xưa bằng mấy cái nhà liền
117,1821,Enjoyment,mỗi phút bên em thật tuyệt_vời . chỉ em mới cho anh cái cảm_giác đó
118,1313,Sadness,em chưa có người_yêu . có ai yêu em không . em cô_đơn quá
119,1000,Enjoyment,nhỏ_nhặt nhưng ý_nghĩa và hạnh_phúc 
120,229,Enjoyment,per = ) ) ) ) ) ) hít đi cho no chứ mắc_công lại chửi tao không biết_điều giở_trò trước mặt cẩu fa như mày : )
121,160,Other,bả đòi cái gì vậy ?
122,518,Sadness,"cái thứ ba , trời nhìn mà rơi nước_mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa"
123,553,Surprise,per biết không : ) ) )
124,817,Sadness,dù có sống được mấy_đời thì cũng nợ mẹ cha trọn cả mấy_đời .
125,232,Disgust,mấy cái tin này thường làm tan_nát tình_cảm gia_đình trong lúc ăn cơm xem thời_sự .. bố tổ_sư
126,1396,Disgust,cô tiên béo quá ..  giọng còn the_thé nữa .. 
127,381,Disgust,lên_án nhiều rồi mà vẫn thế .
128,1419,Disgust,thằng này ngu vãi
129,1658,Surprise,cây tre có tận trăm đốt luôn hả ? ? ?
130,1090,Sadness,nói tiếng tuy_hoà phú_yên làm tao nhớ đến nyc . giọng nó sao ngọt không_thể tả . buồn
131,1839,Disgust,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp_chép .."
132,176,Fear,"đừng nên thích mấy ông anh cơ_bắp , sợ lắm "
133,362,Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ? ? 
134,1830,Disgust,tao đéo hiểu sao người_yêu tao đi cắt tóc về trông mặt ngáo đến kì_lạ 藍藍藍
135,849,Sadness,và khi quay lại nói_chuyện với nhau .... biết nói gì giờ huhu
136,114,Disgust,thằng_cha bảo_vệ có tâm quá . nge con_nhỏ kêu nguyên đêm zi mà đéo cứu
137,21,Disgust,cũng mất_công đẻ mà sao mẹ chúng_nó đẻ ra lũ ngu thế haiz
138,1805,Disgust,tao thấy giống khùng với_lại vô_duyên chứ hay gì
139,566,Enjoyment,cần gì những thứ xa_hoa lộng_lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu_thương nhắn_tin đã cảm_thấy đủ hạnh_phúc rồi 
140,251,Fear,t gặp ngỗng chạy bỏ dép
141,1742,Disgust,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta"
142,1679,Surprise,sao nó trèo lên được hay vậy @ @
143,1444,Enjoyment,"khuôn_mặt ngây_thơ vô_số tội , trái_tim nhỏ_bé của tao sao chịu được ❤❤❤"
144,727,Sadness,cuộc_sống mà đành chịu thôi = ( ( (
145,1373,Sadness,"cấp 3 , đáng tiếc nhất trong thời học_sinh ^ ^"
146,616,Other,"per mình đang nói phần_lớn thôi , chứ tất_nhiên cũng có ngoại_lệ mà"
147,1791,Enjoyment,"thích chị này nhất phim í , bé bé xinh_xinh lại diễn rất đạt : 3 . hy_vọng mai sau sẽ có bước_tiến lớn và thành_công hơn_nữa < 3"
148,796,Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng_cáo ấy ( ý_kiến cá_nhân ) 
149,672,Other,t thấy chả có gì thú_vị .
150,478,Surprise,vậy_mà củng chẳng hút được khách !
151,1773,Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết_hôn : ) )
152,1504,Disgust,thuở thiếu_thời ai chẳn có phút bốc_đồng . nên cho nó một trận để răng đe .. 藍
153,1049,Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
154,800,Disgust,cận_cảnh cái bụng nước_lèo của boss = ) ) ) xài hao vãi
155,1066,Other,bản_chất tham_lam của con_người thể_hiện ngay từ những việc nhỏ ..
156,1294,Sadness,em đi bộ chết mẹ đây này
157,97,Enjoyment,"thật tốt vì chú chó ấy đã tìm được người_yêu_thương nó , kiên_trì để nó tin_tưởng thật_sự : "" >"
158,1325,Disgust,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui ."
159,1857,Disgust,nhìn mặt nó khó ưa thật chứ
160,593,Other,lần sau thì mình sẽ như_thế để đỡ phải cãi nhau nhiều ah : - )
161,945,Other,giờ lên phường người ta có phát chú_rể không nhỉ các bạn ?
162,1739,Disgust,một cái ngu thật sứng đáng
163,1482,Enjoyment,năm nay tao không còn cảm_thấy cô_đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người_yêu  ... # mun 
164,816,Other,hãy dùng một đời để minh_chứng nhé ! 
165,1045,Disgust,con mụ đen sai còn già_mồm ...
166,1545,Enjoyment,chỉ cần yên_bình như thế_này thôi . ❤️❤️❤️
167,791,Sadness,năm nay được nhận hoa và được ngồi nhìn người ta hạnh_phúc
168,114,Fear,chỉ sợ lúc nó dí
169,1582,Enjoyment,hên là chay ra kip
170,1420,Anger,immm
171,1419,Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua_đời rồi 
172,1044,Enjoyment,đa ́ người yêuc quá ́
173,939,Disgust,"5tr là tiền bà yến cúng vong cho công_an phường quang trung để giải_oan_gia trái chủ của bà tiền_kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công_an phường là 1 , ai_lại đi đá_gà nhà ..."
174,173,Fear,kinh_dị v
175,1600,Enjoyment,thật may em đã gặp được người tài_xế tốt 
176,1855,Surprise,bắn không trượt phát nào luôn à
177,1720,Surprise,tại_sao mày nằm viện mà vẫn xinh thế ? ?
178,1284,Surprise,đẹp_trai mà bị đá à
179,724,Sadness,cho con được thay ông bán vé đi 
180,139,Disgust,lớp xuất_hiện thứ âm_binh
181,1087,Enjoyment,đọc bình_luận cười ẻ
182,1841,Enjoyment,per cách này coi_bộ hay nha 
183,1807,Enjoyment,"mặt đúng kiểu , em hiểu cảm_giác phê của anh không kkk"
184,188,Disgust,per thanh_niên suốt ngày hát karaoke max volum
185,576,Disgust,lỡ câu_chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách
186,1864,Anger,bố mày ngứa_mắt lắm rồi đấy
187,1751,Anger,thề địt_mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện_thoại vãi : )
188,1540,Anger,cả đám súc_vật này
189,49,Disgust,bố mấy thằng bệnh
190,1230,Sadness,thật khó để có cả 2 khi chúng_ta còn trẻ : )
191,1355,Disgust,nếu cảm_thấy không làm được thì nghỉ làm đi . đã xin đi làm_thuê thì phải chấp_nhận thôi . kêu than cái gì
192,185,Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố_mẹ vì mấy tin con nhà người ta như_thế_nào
193,1873,Disgust,còn em_trai cưng của tao sang nhà người thân_quen của gia_đình chowi thế_là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em_trai tao bắt chuột cho nhà họ mới hãm lồn
194,33,Disgust,mấy thằng này người ta gọi là mấy thằng nhà_quê . năm nào rồi còn túm 5 tụm 3 trêu gái
195,1639,Enjoyment,cô_giáo có tâm vời nghề ghêeeee
196,1126,Sadness,tiếc quá đẹp_trai mờ không có chim
197,773,Enjoyment,crush ở nhà chơi gane rồi haha
198,985,Sadness,nhìn stt đồng_cảm khủng_khiếp .
199,1186,Enjoyment,cài lò xô huyền_thoại
200,658,Disgust,quên đào_tạo đạo_đức thôi mà báo làm căng vãi 
201,26,Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy_đồi đạo_đức
202,147,Enjoyment,"cố_gắng lên mọi lỗ lực và công_lao của em sẽ được đền_đáp một_cách thật là sứng đáng , cố_gắng lên em nhé "
203,159,Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng_dáng mấy con đuỹ này là chuẩn_bị tinh_thần chạy chứ nó dí sấp_mặt luôn dù mình đéo làm gì nó hết  vừa dí vừa ngoác mỏ hét sợ vãi ra
204,1546,Anger,trốn cũng đéo tha
205,280,Enjoyment,"con gấu_trúc , cho nó ăn trúc đi = ) ) ) tướng ngồi nhìn cưng vãi"
206,1200,Sadness,rồi lại im thôi . 200k hay 5tr thì cũng vậy
207,488,Enjoyment,"cái lò huyền_thoại nè per , lúc mình ở chung đó"
208,39,Fear,hi_vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
209,287,Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú_hồn
210,1880,Enjoyment,tuyệt_vời
211,1833,Surprise,trẻ_con bao_giờ ga_lăng sớm thế nhỉ ? ! hồi mình bằng bọn này đuổi đánh nhau hỡi chết : ) ) ) ) )
212,125,Other,tính đi chạy xe mà mưa cho_nên ta ở nhà : )
213,63,Enjoyment,nhìn nó cưng quá
214,666,Disgust,chủ_tịch giả làm nhện và cái kết . đừng bao_giờ xem_thường người khác .
215,255,Disgust,"này thì cắt đức quan_hệ , toàn thể_hiện , dume nó"
216,856,Disgust,con gái bây_giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
217,1782,Enjoyment,hạnh_phúc to nè
218,1601,Disgust,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu"
219,133,Enjoyment,ông thần nhây vãi đái 
220,1770,Surprise,tóm_lại vẩn ế à
221,1143,Sadness,chả vị nước_mắt à 
222,562,Anger,con lợn kia sao đập vào đầu vợ_bé của tao = ) )
223,261,Other,tôi rất mong sử phạt giao_thông cũng mạnh_tay như_thế_nào thì tốt
224,109,Fear,cứ sợ rớt điện_thoại : ) ) ) ) sợ nhất là lỡ khúc nào khó là té không_thể tả nổi
225,918,Enjoyment,hình_như anh nay đóng phim ngây_ngô thì fải ... phim đó hay lắm các bạn nên xem
226,379,Enjoyment,hahaa coi cái mặt con_nhỏ thấy thương
227,1038,Enjoyment,"per khiếp nhớ ngày_xưa quá anh_em ơi , đi làm cười từ sáng tới tối luôn "
228,232,Other,per tự_nhiên tao cảm_thấy bị nhột nhột trong người mày ạ
229,636,Enjoyment,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 廊 chả_bù cho mình , lúc đéo nào cũng cười , cuộc_sống tràn_ngập niềm vui < 3"
230,449,Enjoyment,không phải crush : v nhưng_mà nhìn ổng cười mỉm nhìn cute vãi - . - ❤
231,1465,Enjoyment,per anh tặng vợ cái bát nha kaka
232,597,Enjoyment,"tiêu_đề bộ phim cứ ngỡ là thể_loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này"
233,410,Anger,như lol
234,1837,Surprise,bất_ngờ chưa = ) ) )
235,200,Anger,"trời mới bắt_đầu mưa , đéo lo thu thóc đi_đứng đó quay ngang quay dọc"
236,499,Anger,"ay , đau thế , thằng chó !"
237,1052,Sadness,"có ai nhìn thấy hình_như người đàn_ông này đang rất đau_khổ không nhỉ ? mình nhận thấy hình_như ông ấy đang rất đau_khổ , mà không_thể or không muốn nói ra ."
238,333,Anger,"đm cho tù mọt_gông đi , cái thứ không não"
239,1554,Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con_mẹ định luôn
240,648,Sadness,a per ..... nhìn những hình_ảnh này ... sao em nhớ về anh quá .... 15 năm ròng_rã .. giờ anh lưu_lạc nơi đâu . 
241,968,Disgust,"kiến phải loại kiến_lửa , kiến_vàng , còn loại kiến lấy cứt_trâu làm tổ này thì đốt gì hả ông zời : ) )"
242,627,Enjoyment,per có nên áp_dụng với anh hàng_xóm không nhể 
243,923,Enjoyment,đáng yêuc quá
244,55,Other,ok mà cần gì cứ cắt chất_lượng lại thôi vẫn bán giá vậy
245,1811,Disgust,làm như chỉ có chúng_mày biết yêu nhau ý .
246,108,Other,nói_chung là không nên uống chẳng bổ béo gì đâu
247,1498,Enjoyment,không nổi thì mình chìm haha
248,71,Other,nóng_tính quá hỏng viẹc - trẻ_em rất thích ngọt mình nên nhẹ_nhàng cương_quyết mới được
249,661,Other,anh cũng bướng làm !
250,466,Anger,"mỗi lần như_thế tao chửi , mà bọn nó xem đó là trò_đùa mày ạ , càng chửi càng cười"
251,814,Sadness,nhìn ma tiếc từng hạt trân_châu
252,1354,Enjoyment,thật cảm_động
253,1675,Surprise,"trời_ơi , tin được không ? ? ? ?"
254,1061,Enjoyment,per nhìn mặt hài vler : ) ) )
255,790,Enjoyment,"đấy gọi là biết ngu mà vẫn đâm_đầu vào , giống tao : )"
256,1312,Enjoyment,một phút huy_hoàng rồi chợt tắt còn hơn le_lói giữa ngàn_thu
257,301,Disgust,người ngoài hành_tinh đi học tiếng anh rồi à vãi
258,1179,Sadness,đó là một câu_chuyện buồn 
259,941,Disgust,lỗi đạo_cụ
260,964,Disgust,per dạo này bị xàm à 
261,874,Sadness,như chết đi sống lại 
262,773,Sadness,"bất_cứ lúc_nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khoé mắt : ) )"
263,1723,Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
264,632,Anger,thả tao ra để tao cắn chết mẹ nó = ) )
265,575,Enjoyment,per tao cứ thấy giống giống mày : ) ) ) ) )
266,197,Disgust,vấn_đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
267,1196,Disgust,"giỏi thì tự đi mà thiết_kế các kiểu . ở đó chỉ giỏi cào phím chê_bai thôi . ông đã làm được gì , am_hiểu gì mà chê này chê nọ"
268,1305,Enjoyment,ngoài kia ! còn có rất nhiều điều tốt_đẹp vẫn còn trên thế giớ này ! hy_vọng những điều tốt_đẹp luôn diễn ra từng giây_phút ..
269,862,Enjoyment,cưng hết_sức nà
270,1383,Disgust,"học kiểu ăn_nói láp xược , tại_sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo"
271,1644,Surprise,cái nệm này độ đàn_hồi đỉnh ghê
272,586,Sadness,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng_về đánh_rơi hay càng xa_vời càng dễ mất .. anh chân_thành nên anh tổn_thương"
273,1438,Anger,con mèo khốn_nạn dám bóp vếu vợ tao à 
274,1866,Surprise,"giỏi quá ta , cố_gắng phát_huy nha"
275,958,Other,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa"
276,849,Other,ăn cả thế_giới đã
277,291,Anger,"mấy cái thằng này xử bắn hết đi , to xác không lo làm_ăn suốt ngày trộm_cắp"
278,1060,Disgust,"đưa lên để nhận đồng_cảm à ? ? họ sai họ chịu phạt , còn người ta đỗ xe như_thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư_tưởng đường trước cửa nhà ta là của ta đi ."
279,1011,Sadness,chú này tội lắm á : (
280,527,Anger,gọi phường cẩu đi thôi
281,296,Disgust,link phim đéo có .. mà zo toàn gặp bình_luận xàm
282,1008,Sadness,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi
283,27,Enjoyment,hihi ảo_tưởng
284,1215,Enjoyment,hahah tao chưa nghe hoàn_chỉnh bài này lần nào
285,143,Enjoyment,mình không quan_tâm giá_trị học_bổng bao_nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất_nước sau khi học xong thôi . hee . chúc_mừng em .
286,107,Other,thế nếu sóc lên xong gõ thì n có trào lên không nhỉ
287,784,Other,2 tên sủa giống nhau đêm_đêm thì rủ nhau hú ? ?
288,883,Other,dân dùng bằng giả có được khiển_trách không nhỉ
289,712,Disgust,vì mày là đống vỏ năm_xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt_mày hắn cũng cay_cú như thế : ) )
290,208,Fear,người ta chỉ muốn dụ mày rồi xin một trái thận . 
291,785,Sadness,per huhu trời ơiii
292,268,Fear,lớp 5 mà viết kiểu này cô đánh gãy tay .
293,412,Enjoyment,con gái chả thế : ) ) ) ) con trai đi dume mày có nhận hàng_không
294,1583,Disgust,"xoá mẹ nó đi , pr cho nó làm_gì"
295,881,Enjoyment,t thích nhìn mắt của crush hơn là nhìn nó cười
296,1883,Enjoyment,hành_động đẹp
297,1151,Disgust,"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác_nào giết người gián_tiếp mà ở mỹ gọi là giết người cấp_độ 2 đấy"
298,955,Enjoyment,"đây là tao khi bảo "" tao biết đường mà , tin tao . "" "
299,552,Sadness,t nhớ tao đang xem xxx thì chưa cắm tai nghe 
300,1332,Enjoyment,chuẩn . hài_lòng với những thứ mình đang có . đừng mơ_mộng những thứ viển_vông
301,463,Enjoyment,per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho_rồi . nóng quá rồi : ) ) ) )
302,1788,Disgust,"ai_đời cho kiến_đen đốt tr .... nta cho kiến_vàng đốt chứ , ăn kì_cục"
303,194,Other,may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt
304,1855,Disgust,mặt_mày nhìn chán thậc
305,1594,Disgust,cả 2 đứa đều trẻ_con . yêu_đương kiểu này thì lsao mà tính_chuyện lâu_dài được
