,free_text,label_id
53,a độ a có thẻ page cái ảnh nền pc a lên trang mấy em xin đc k,0
54,❤️,0
55,Thu_Trần_Hoài_Thu,0
56,Hí vừa lên fan cứng,0
57,"đừng nghĩ các nc châu_phi là nghèo nhé , chỉ 1 số nc có nạn đói thôi , 1 số nc vẫn xe_hơi đầy đường : v",0
58,Hình_như mẹ thiên_nhiên tới tháng hơi trễ,0
59,Ah_Lân thuốc Bố Trần_Dân nha .,0
60,Nay Trần_Dần mặc áo khác hẳn mọi ngày.có lẽ chuyển bị tiếp_đón Corona nhập hồn đây .. ,0
61,Các bạn đừng chửi tớ nhưng có_thể cho tớ hỏi bạn,0
62,"Lộ đề thi văn năm nay : "" Các em hãy nêu lên cảm_nghĩ của mình về hình_ảnh Vợ_Chồng A Phủ đi cứu Đất_Nước trên Chiếc Thuyền Ngoài Xa bị Sóng đánh chết lênh_đênh trên sông Đà trôi_dạt về sông Hương tức_tưởi được Người Đàn_Bà Làng Chài vớt lên đem chôn ở Rừng Xà_Nu """,0
63,Thầy_giáo mày fan Tào_Tháo rồi,0
64,Lũ chó đói,1
65,"Riêng abe , thầy dập luôn",0
66,Các bạn đi cãi nhau với một cái nick ảo chỉ biết chửi bậy không lý_lẽ làm gì vậy ?,0
67,- Cùng tham_gia chống covid-19 nha huhu,0
68,Nghe giọng lứng quá,1
69,Quỳnh_Như duyệt này . ,0
70,"Phải_chi dễ_dàng thì bắt người ta trinh_sát , Ngay trước mặt_hàng ngày thì làm_sao mà thấy được .",0
71,Chuồi vời cà lờ,0
72,Con mèo kêu meo meo,0
73,yêu là cùng nhau lên phường chứ không phải cùng nhau lên giường anh_em nhỉ,0
74,Số đẹp,0
75,Nguoi giau kg ai an noi tho tuc vay dau,0
76,Năm nào cũng thế cứ bảo bỏ xong lại tập diễn ý . Dù mong năm nào cũng giữ Táo_Quân nhưng_mà cứ nthe mãi thành nhàm ko,0
77,Minh_Tuân đẹp tria quá ! yêu,0
78,Lol này cây vô đầu nó mới sợ : ),1
79,Chúng_ta không lấy gì đi_ngoài những kỷ_niệm đẹp bên anh_em . Không sao cả anh ạ ❤ Chỉ là chúng_ta về sớm với anh_em thôi mà ^ ^ ae nhớ các anh quá r,0
80,Thuyết_phục đấy,0
81,"Nhuận_Nhi t thì lạ hơn t thấy chỗ lạ t càng dễ ỉa hay sao á , đi đâu cũng có cuccut : ) )",0
82,Xuống sắc quá sao ca_sĩ như quỳnh yêu bác được !,0
83,hóng khoai á : 3,0
84,Cảm_ơn bạn đã cmt .,0
85,Ngã cây là sao .,0
86,Cực_kì thuyết phục,0
87,Cao_Quốc_Minh gần nhà nè e : ) ) ),0
88,From_MixiGaming_With_Love < 3,0
89,Ngày nào rảnh đi làm bộ răng đi bác à còn một nữa làm thêm đâu có bao_nhiêu tiền đâu,0
90,Nhọc thực_sự,0
91,Tướng fu thê : >,0
92,Trần_Giang,0
93,Hài vcl,0
94,thầy làm e chảy_máu rồi đền đi thây,0
95,Các ad ko quan_trọng tiền_bạc . Mỗi người 1 năm uống hàu là đủuuuu ... ụ,0
96,Ai xin inb tôi đi,0
97,Vãi cả lồn,1
98,"Là ng tiếp_xúc trực_tiếp với BN 22 và 23 , mong là khi phát_hiện 22 và 23 dương_tính thì bạn này cũng đã được cách_ly ,",0
99,Nguyễn_Thanh xin link video bro ơi,0
100,@ @ !,0
101,Thiết nghi Sao anh ko để con chuột sang một cái bàn siêu to khổng_lồ riêng để keo chuột cho nó thoải_mái,0
102,Thiết_nghĩ nên tháo bài này xuống đi ad ah . Có những lúc chửi cần phải có tư_duy 1 chút nhé .,0
103,Oke a be,0
104,và người ta gọi đây là xứ thiên đường : v,0
105,Người đâu mà đẹp quá,0
106,Thầy cởi quần thịt luôn,1
107,Để ở đây và k nói gì thêm : ) ),0
108,"Giá xăng rẻ hơn vài ngàn đồng , thu_nhập cá_nhân thì thấp hơn vài ngàn đô , thiên_đường XHCN",2
109,Ai quản_lý hay sở_hữu thì mới bán được : 3 !,0
110,Dễ_thương giữ trời ,0
111,Ok thay`,0
112,hahaha,0
113,Dương_Lê haha để con ib nói sp nghe,0
114,Yến_Linh uôn cụp tầng cao ạ,0
115,"Thật_ra rất thích cái quần nhưng nay nó chật tiếc ko bỏ nên mặc tạo thành mẫu quần độc lạ , nhưng độc lạ đâu ko thấy chỉ thấy chỉ thấy lố",1
116,"Bọn trẻ giờ toàn ôn trong phòng điều_hoà , đường sữa tận răng sao mà có mồ_hôi được",0
117,bã nc thô nhưng vui mà_lại có thật tình.thấy cảm_giác dễ_chịu .,0
118,hhaa,0
119,Ở nhà cho mát anh à = ) ),0
120,Chắc hít dạ_hương xong lú cmnr,1
121,Cười : ),0
122,Diễn_biến phức_tạp quá,0
123,Nho_Lâm còn chưa có kq của mấy nv trong ĐMX nửa đó c . Rồi họp chung 40 người nữa . Con_số này chưa dừng lại đc rồi ,0
124,Trần_Tuấn_Hiệp : ) chị còn nhiều hơn em một năm xem Táo_quân hok có ny,0
125,Khúc nào hot girl zaj : ) ) ),0
126,chot don chot don chot don chot don chot don chot don chot don chot don chot don,0
127,Quảng_cáo cc,1
128,Gato gì ?,0
129,"Cho e hoi , lam sao de liên_lạc trực_tiếp với chị minh hiếu vay ạ",0
130,Bú mạnh,1
131,Chưa xem đc tập nào : ) ) chỉ toàn xem mấy ảnh spoil : ) ),0
132,Tức nhiêng là tức nhiêng là không biếc,0
133,Già mà non = ) ) ),0
134,Tính số_chẵn thôi cũng 2.177 tỷ / 1 km  k biết công_trình có rát vàng k nhể,0
135,Nghe rất đời hư_ảo nhưng lại đưa em vào cơn mê : ) ) ),0
136,Âm_Binh ,1
137,Có rất nhiều Độ nhưng Độ_Mixi của ae chỉ có 1 ❤️,0
138,Xa hoi tồi_tệ,1
139,Huỳnh_Ngân b ơi màu gì đó ạ ? Nhìn màu tóc đẹp quá,0
140,SL,1
141,"Nguyễn_Đình_Hảo được bài hồng_nhan trên 100tr view còn bài bp với sg chẳng_lẽ k cần beat , jack nó kết_hợp với hoaprox đéo nghe đc gì",2
142,Biết được ông Tuấn này lên kèo hay vđ anh_em ak . Ai thua tha nợ lần thì cứ vào Tường cá_nhân tham_khảo kèo của ông này mà chơi .,0
143,": ) ) ) dân biết , dân làm , dân bàn , dân kiểm_tra : ) ) ) ) ) ) ) )",0
144,Yêu mẹ,0
145,Anh chau chẹt voi nhe,0
146,Ngọc_Diệp èn Yến_Lương hình cánh hoa nhé các chị yêu,0
147,rất thuyết_phục,0
148,Thới_Ngọc_Dương_Sao thiếu hình của tụi em hê : ) ) tụi e dẫn_đầu xu_thế mà hâhha,0
149,Hay quá,0
150,"Những thằng nói đạo_lí , thường sống như L ^ * *",2
151,Hơi vô_lí nhưng khá thuyết_phục,0
152,Tuy hơi ác nhưng tử_hình mới dừa lòng t ý_thức như b * * *,1
153,Công_nghệ Đức của nhà_máy nước Sông Đuống đây : ) ) hoá_ra là Đức Chung : ) ),2
154,Trần_Phương_Nguyên,0
155,Các anh_chị khoá trc ơi cho em lịch live của Tộc_trưởng với ạ,0
156,Chi oi dep qua,0
157,Khánh_Ly cmt là phải để ngkhac thả tim,0
158,Trẻ trâu nhờ like,0
159,Tin vào đảng đi các con dời !,0
160,Quân_Tử Trúc may_mà kịp lưu lại bằng_chứng,0
161,Khoa_Ta chỉ cần nhung tiếp_xúc bồn rửa tay bắn nước_bọt là có khả_năng,0
162,xịn xò như này k thầy 樂,0
163,"Cháu chỉ thích bác ngày_xưa phản_động cơ , bác càng yêu nước thì không vui nữa ",0
164,càng_ngày_càng thích Quốc sư.Không biết 2022 Quốc_sư có về VN không biết,0
165,Ai làm gì nó mà kén,0
166,Con linh cá lóc này hông cho ai được 1 đồng 1 cắt mà kiếm chuyện dứ chị minh hiếu chời !,0
167,Tấc nhiêng đệ nhất hoa ki trầng dầng là phải thế dòiii,0
168,Nguyễn_Công_Kiên mốt ko được kể chuyện cười nha em : 3,0
169,Được quả áo khá chất thầy ơi,0
170,Fan cuồng cô minh_hiếu,0
171,Linh vật của team : v,0
172,trong khi đó chủ_tịch thủ_đô đang trân tráo khư_khư ôm lấy dòng sông Tô_Lịch thơ_mộng ! quyết bảo_vệ nó khỏi bàn_tay sạch_sẽ của bọn Nhật_Bổn tư_bản ! Bắc_Kỳ lạ lắm thay ... người nam méo hiểu được !,2
173,12 con_giáp không dóng còn nào樂,1
174,Thật_sự là thấy cô dễ_thương lắm luôn ,0
175,Tướng fu thê : >,0
176,Đau_đầu thật_sự : ) ),0
177,Chi kim hat nhac che hay that,0
178,Thầy ngu như chó 拉,2
179,Vì miếng_cơm_manh_áo !,0
180,Tui cười xĩu luôn á trời . Bã cưng dễ sơk,0
181,Yêu cô ❤️❤️❤️❤️❤️❤️❤️❤️❤️,0
182,Hu_hu nhìn mình cứ tưởng quên kéo khoá.hoá ra là kiểu quần như_thế,0
183,Hồng_Trần về không bị cách_ly à藍,0
184,Lên là lên luôn bạn ơi ~ ~ : ) ),0
185,Chất chz đấy類,0
186,"bị tàu "" lạ "" bắn đó : v",0
187,Đậm chất dân_chơi Cao_Bằng luôn anh ơi,0
188,Xui quá_trời xui,0
189,Cũng do tham mà thành_ra thâm,0
190,Nghe có_vẻ suzuki nhưng lại xe_đạp,0
191,Và họ nói rằng đây chỉ là những con sâu nhỏ ..... : v,0
192,"Bố m bảo rồi , h nhục như chó chưa , đàn_ông_đàn_ang để cmn lại đi cho chất , sợ lồn = ) )",2
193,Nguyễn_Huy mua sớm có_vẻ sáng_suốt nhỉ ,0
194,Cực_kỳ thuyết_phục : ) ) ) ),0
195,Mắc qá fai làm_sao ?,0
196,giầu thế_mà kg đi thẩm_mỹ . Cho nó xinh đi để tiền Làm cái gì sấu như con quỷ,1
197,Cường_Euro thì Táo_Quân là thứ ko thể thay_thế dc mà,0
198,Nguyễn_Hà_Trang đtrai vl mà kaka,0
199,Nhìn kiểu cô chân_thật ghê nơi ♥️,0
200,Ba Gà MTP,0
201,Nhin chi đep hâp dân qua mui chi đep qua,0
202,Bạn có muốn tham_gia khảo_sát để nhận mã code giảm_giá đi nhà ma 5D mới và hiện_đại nhất VN lên đến 50% ngay tại khâm thiên ?,0
203,"Cho mình hỏi tập này thánh nào edit vậy ạ , coi cười rớt cả hàm kkkkkkk",0
204,nó vẫn cứ nghĩ hút thuốc trên xe là chuyện bình_thường,0
205,Hồ Nguyễn_Quốc_Phú mấy thằng đầu buồi này rp làm mẹ gì thứ như nó ngoài đầy rp tới sáng chưa hết : ) ),2
206,"Thích cô bởi cái chân_thật , thiệt tình . Cách nói_chuyện đậm chất miền Tây.i lớp du chucamo",0
207,Spam,0
208,Hàng li mít_tịt chỉ có ở Cao_Bằng nhé các bạn,0
209,Cô mina dễ_thương hơn ml của thầy ,0
210,Nghi_vấn hối_lộ nha,0
211,Xã_tắc mang dâng cho ác_quỷ Ham danh hám_lợi hiến tổ_tiên Đê_hèn như một lũ điên Quốc_dân ai_oán_động thiên lệ trần,0
212,Bị tạm giam,0
213,Mong đừng biến VN trở_thành Ổ DỊCH !,0
214,Cấm những không cản,0
215,Ta nói muốn gớt nước_mắt Khánh_Vy,0
216,Hủ chào bạn,0
217,huhu,0
218,Hé nhô,0
219,Thầy phải thay cho petland mới hợp,0
220,"hãy tuyệt_đối tin_tưởng vào các cơ_quan_chức_năng , hãy tin_tưởng vào nghiệp_vụ của các lãnh_đạo , tuyệt_đối tin_tưởng vào đường_lối sáng_suốt của đảng ! 3 triệu đâu đưa đây",0
221,Nhìn giống độ mixi nhưng thực_ra là tùng xói,0
222,Ko thik thì biến ai_mượn bấm vô koi ko thấy tựa ghi thánh liệu hả,0
223,chị Hiếu nói_chuyện hay ghê,0
224,Mệt gkee ha,0
225,Rân chơi Cao_Bằng : ) ),0
226,Facebook của bà này là j z men,0
227,Ui anh tôi ơi giờ anh đang đâu rồi . Buồn thực_sự,0
228,đất_nước chúng_ta nghèo nhưng ko bao_giờ hèn,0
229,"Thien_Binh_Trang \ "" bạn lịch_sự - admin lịch_sự , b cục_súc , - admin dí l vào mặt b luôn \ "" = ) ) )",1
230,Cái mặt nhìn nam_tính ghê,0
231,đó là câu_chuyện buồnnnn,0
232,Nguyễn_Trọng_Thái,0
233,Đm chứ biết làm_gì,1
234,Bá_đạo ợ,0
235,à há 藍,0
236,"Đa_số bố_mẹ lao vào kiếm tiền bất_chấp cả gian_dối , tham_nhũng thì con nó cũng bất_chấp vì tiền . Thay bằng kiếm tiền xứng_đáng và giành thời_gian tình_cảm cho con thì con nó cũng vì bố_mẹ .... cha nào con lấy . Công_bằng thôi chỉ là khôn dại đồng_tiền loá_mắt",2
237,From_Cà_Mau . With_Love,0
238,"Thực dân pháp rất ác đè đầu cởi cổ thu trăm thư thuế , bây giờ dân tự nguyện đóng nghìn thứ thuế",1
239,thế mày nghĩ nó quan_tâm đến việc mày vội hay ko vội à . ngu v k l : v,1
240,"mình có quyền thương_lượng or nếu THP có nhả ý làm đúng luật thì đã hướng dẩn anh Minh tìm cách xác_nhận đây có phải là sản_phẩm cuản mình hay ko . cách làm này của THP có ý_đồ là : nếu sau_này có gặp chai nước có vấn_đề thì khôn_hồn tự tiu huỷ nhé , chứ ý_kiến í cò là chết với_anh",0
241,Chúc kênh_Panda mau đc 1M sub nha thầy,0
242,Fu thê,0
243,Nguyễn_Xuân_Bắc trend nhảm Vl,1
244,Tặng các bạn nữ 20/11 vv,0
245,,0
246,So dien thoai 01262978842 việt theo,0
247,"Thảo_Đào_Văn đã nói đúng lại còn nói to , ha_ha ha",0
248,Abe chơi dơ,0
249,Hóng thầy 3 làm 1 số clip về pubg,0
250,Sơn_Nguyễn_xin video cái,0
251,Học_sinh úc mà_lại,0
252,Kỳ án,0
253,Học_tập và làm theo ... đến tẩu hỏa nhập ma luôn,1
254,dm ông can !,2
255,Trend chym bé,0
256,Thiếu cái mụn ruồi : V đây khôngg phải anh Độ taoo,0
257,phê con tê_tê . ai có Video này k ạ ?,0
258,QuânAnh dogy chứ,2
259,Khánh_Phương mang theo câu hò điệu lý với dòng sông = ] ],0
260,......,0
261,Dj zuy nhat tai vn nghe nhac Dj mà k nhảy,0
262,_Panda thai đã xem ,0
263,cute thực_sự 殺殺,0
264,Khá xa so vs t ở nên khỏi lo : ) ),0
265,Con gái của thầy,0
266,Tốt nhất không nên du_nhập vào Việt_Nam chúng_ta phải giữ lấy thuần_phong_mỹ_tục  tôi thiết_nghĩ nên chế_tạo ra vòng đeo cho cái bọn không chửi bậy mà nhân_cách sống như lon ý,1
267,Sống chậm thôi các pro : ) ),0
268,Youtube của cô nha mấy đứa mấy đứa yêu cô ủng_hộ cô nhé,0
269,Được anh ưi : ) ),0
270,: ) ) gương_mẫu chứ a,0
271,Độ_Hulk ! 藍,0
272,Chưa thấy nấu cao là được rồi,0
273,T.Nguyệt Ng đấy  chỉ cod đi qua thoii nhé,0
274,Đẹp_trai tài_năng tư_duy đỉnh_cao tố_chất lãnh_đạo và nhiều phẩm_chất quý khác là những gì mà .....levi đều có chứ ko phải là như_ai kia .,0
275,"Lần này nhìn cô ấy , rất bùn .",0
276,@ Phu_Nguyen bạn ng miền tây hả,0
277,Loại này tử_hình luôn cách_ly làm gì cho tốn mỳ tôm ,2
278,Nhờ ơn chị Nhung cả nước hoang_mang = . =,2
279,AE THẤY HAY THÌ CHO MÌNH XIN 1 ĐĂNG_KÝ VỚI Ạ,0
280,Cái tên nó lên tất_cả rồi : D,0
281,Đơm luôn . cà khịa sela à,0
282,Hầu_như các ca nhiễm_bệnh toàn đi từ nước_ngoài về nhỉ ? ? ? Lúc mọi người về có nghĩ đến an_toàn của bản_thân cũng như mọi người ko nhỉ ? ? Hay não bị vi_rút ăn hết cmnr,2
283,đhs tao bị ban khỏi group không sợ chó - _ -,0
284,Sẽ cố_gắng thích_nghi,0
285,Lê_Nhân_Trí_Tín Lầy ghê con .,0
286,Địt_mẹ mày thằng ngu lồn,2
287,Chúc ông Trần_Dần luôn khoẻ_mạnh để nói_chuyện cho bà_con nghe ....,0
288,Đúng là giang_hồ vui ,0
289,Hào_Nguyễn_xin vid với,0
290,Mãi yêu cô Minh_Hiếu ,0
291,"Bìnhh_Tây ' s vậy mày nói hs là mấy đứa ko có trình_độ ko biết nghe nhạc à , ko lẽ hs nào cũng trẻ trâu cũng ngu_dốt DẸP CÁI THỐI GOM ĐŨA_CẢ NẮM ĐI",0
292,Để em mặc quần xong đi mua đồ mới liền nè thầy,0
293,chốt này thông mới đã nè,0
294,Trung như con CHÓ,2
295,Vc tội anh tôi vl : ) ) ) ) ),0
296,"Sao lai so sanh khap khieng nhu vay duok , song đen chung nay tuoi roi ma đua nhung chuyen khac nhau ra so sanh , dung that la điên_rồ . Hãy xem_lại lời_nói của mình đi . Ai cung co trach nhiêm nhug có ai dũng_cảm đung ra như phan Anh ko . Nói như k có não",0
297,"Bé Châu đm dân_chơi nhìn phát biết luônnn , bắt_chước trend , nó ở cái tầm hihi",0
298,cút luôn hộ cái : ) ),1
299,Chính mồm lão Dũng hứa ko chống đc tham_nhũng sẽ từ_chức,0
300,Dũng tao nhớ hồi nhỏ còn gội đầu dạ_hương cơ chứ đâu như bây h,0
301,Cười muốn chết luôn : ) ) ) ai lớp du chu cà mo Cô Hiếu_朗朗殺,0
302,Con sam thì khi cầm vào đuôi sẽ có 3 góc_cạnh,0
303,phân_biệt ?,0
304,Có_thể cãi nhau nhưng điều t ghét nhất_là chia_tay ...,0
305,Bành bướm leo rankkk,0
306,Sao mình chưa được nghỉ học nhỉ,0
307,Học anh ba có mà chớt : 3,0
308,Tiến lên,0
309,Từ nay anh_em ko được gọi bà gà nữa nhé kêu ba pro nhé = ) ),0
310,Xin link dạo hả abe,0
311,"Cứ mỗi khi ngủ dậy là tất_cả mọi thứ lộn_xộn lên , sắp_xếp chật_vật tạm ổn rồi ngủ qua 1 đêm là tan_nát",0
312,không giải_trí như anh Độ đây nữa !,0
313,chắc tính ăn vạ,0
314,"Bóng_đá thôi mà , có gì quan_trọng đâu , thắng hay thua trận banh có ảnh_hưởng gì đến vị_thế Quốc_gia đâu , cuồng thì để họ cuồng .",0
315,Cao_Huy toang ông giáo rồi,0
316,Đừng so_sánh 2 thầy ngu,2
317,Bởi dừa lờ t lắm cho chừa cái tật chơi dọng cha dọng mẹ rồi bị chặt : ) ) ) ) ) ),1
318,Làm đéo j có vụ đó . Địt_mẹ ăn hết rùi chả lại vậy là song ak,1
319,"Chị rất ái_mộ em . Mình_Hiếu rất dể thương , xinh_đẹp thật_thà chất phát của người Miền Nam , chúc em có sức_khoẻ và bình_an MinhHieu❤️",0
320,Cái đù má ság ra mò cl j mà vào đc cái page loằn này hay vl thế nhỉ . Toàn mấy đkm tháh rãh cmn hág . Xin_lỗi e hơi thiếu lịch_sự tí . E xin xin phép dí buồi vào mặt Ad nhé . Page hay vl : ) ) ) ) ) ) ) ),2
321,Nhìn mặt con chó này biết ngu rồi,2
322,: ) ) k cho Tùng xem mèo Tom thì cho xem chuột Jerry đi,0
323,Nhìn anh độ nứng vl : ) ) ) quay sang quang tắt nứng,0
324,Cho ba vàng_ngọc ơi hoàng cảnh em đang gặp khó_khăn cho giúp em tì lòng hån tâm em man ơn suốt đời chúc chị sức_khoẻ tốt 0794975372,0
325,Duy_Linh có_thể bệnh_nhân ho vào thiết_bị điện_tử xong cô này sờ tay vào . xong lại đưa tay lên mắt_mũi miệng .,0
326,Thầy thế_này à ,0
327,Đào_Mạnh_An đọc hết bài viết chưa bn,0
328,Gà Nguyên Con,0
329,Chào abe nhận lì_xì nè,0
330,Đúng đẹp,0
331,Chán luôn các bạn ạ ,0
332,tự_tử bằng quần treo lên ... cửa_sổ còn được nữa là ! nơi tạm giam của can vn nó ma_mị kinh_dị lắm !,0
333,Theo_dõi FB chị nhé các em : ❤,0
334,ua roi cai nut xac nhan dau,0
335,Lưu_ý nữa nè,0
336,Không phải cha_mẹ bé mà đau_lòng quá . Cộng_đồng mạng hãy theo sát để vụ này ko bị chìm_xuồng cho đến khi tên súc_vật này vô tù,2
337,Th bạn đừng đạo_đức giả nữa . Gà lợn vịt trâu dê ăn hết mà nhắc đến chó thì lại dựng lông lên . Bản_thân mình kh thích thịt chó nhưng cungz đâu bắt và cấm ng khác ăn thịt chó đc,2
338,lũ này chết đi cho đỡ chật đất,2
339,Nóng vầy mà cứ phải ôm ông_già . Mệt_mỏi vaiz ... Sói said : ,0
340,Thầy coi clip của vodka Quang đi thầy,0
341,"Kg nói c kg bt e giới_tính thứ ba , e quá tuyệt_vời , , , rất đẹp ...",0
342,Nguyễn_Thanh xin video bạn ưii,0
343,Cô hiếu trang điểm đẹp lắm,0
344,tucccc,0
345,Thanh_Xuân Sơn_Thi_Gia_Luật Mỹ Dinh haha,0
346,Ở vn nó khôg phải hình cánh hoa m ơi Lê_Văn_Lâm,0
347,Thắm ơi nếu đọc được dòng này thì mau trở_lại . Bán page thì bán sao ẩn_dật k đăng bên Nhuyễn_Thị_Tươi_Thắm ? ?,0
348,Abe mua áo như này là chet con di me sela rồi = ) ),2
349,Con này nó chửi cho đã rồi lên khóc_lóc xin_lỗi sao như bánh_tráng mặt lật dữ vậy ta,2
350,Sau ngày nào cũg tăg hết z hoag mag tột độ,0
351,# ERROR !,0
352,Tưởng nhầm kênh nhưng đến pha cuối thì chắc là abe rồi,0
353,cây_viết đẹp á chị,0
354,"Muốn có 1 MV dc công_chúng hưởng_ứng , thường_xuyên dùng thì tui thấy bài này ko dc dùng rộng_rãi cho lắm . Nhạc nghe hay nhưng lời ko bắt tai để nghe nhiều và hát theo . Lời lần này hơi cao , ko có sức hút , ko dùng đại_trà cho mọi ng hát theo dc . MV mới lần này ổn chứ ko phải là hấp_dẫn đến kiểu gì",0
355,"Tao là trò_đùa của chúng_mày đấy à , a Chiếp said",0
356,Sếp ngta ko bg lm t thất_vọng Oanh_Nguyen,0
357,Cà_khịa : ) ),0
358,Phú_Nguyễn_chuyện sao vậy,0
359,Con nay no khung con hon con linh ca loc nua,2
360,: ) ) ) ) ) ) haha,0
361,idol của bạn đây,0
362,Như con bóng dạ . : ) ),0
363,vs e abe chỉ đẹp gái thôi,0
364,Hoàng_Xuân cẩn_thận c ơi . Tốt nhất đừng ăn cho chắc,0
365,nói miệng chứ thèn TQ thân vs Lào lắm,0
366,Du ma nhin cai mat gian va co,1
367,Huy_Dương,0
368,Mẹ minh hiếu muôn_năm,0
369,vv,0
370,Nguyễn_Đức_Cường : ) ),0
371,Không có_thể tha_thứ được không có chấp_nhận được,0
372,"Nhật theo TBCN thì bị nhồi_sọ tư_tưởng Phát_xít ( may_mà Phát_xít là đứa con của TBCN sinh_sản ra chứ ko phải XHCN : 3 ) , Nhật ăn 2 trái bom_nguyên_tử của Mỹ thì yêu_thương sao được lúc bấy_giờ ! Ném trái lựu chết 2 3 thằng Mỹ bị tố là khủng_bố . Mỹ ném 2",0
373,abe kiếm tiền nuôi bò viên,0
374,Hình ảnh các bạn trong nhóm đùa giỡn với cô gái sau khi được thả,0
375,Bé ba buồn : ) ),0
376,Mỹ Hạnh mua quanh_năm ngán r tết xả_hơi hả dì cđ 藍,0
377,Đôi môi này chỉ ăn cơm với thịt,0
378,Tịch_An cùng quan_điểm,0
379,Cô chuyển giới năm mình sinh luôn,0
380,Cô nói_chuyện cười muốn banh bộ_đồ lòng dậy đó ,0
381,Vì sữa ở VN quá mắc !,0
382,Hoàng_Xuân_Tâm chất hahaa,0
383,Fpt said : là vì m diễn_viên chính nên a diss mạng m ^ ^,0
384,Phải hk z sạo z,0
385,Gam k đc top8 bh top 16 nào mới xoá kênh ?,0
386,Khongggg,0
387,Abe sonic : v,0
