,index,comment,n_star,date_time,label
12,12,Nâng_cấp nên phiên_bản mới pin sụt nhanh . nghĩ mà chán .... ................,2,28/05/2020,{PERFORMANCE#Negative};{GENERAL#Negative};
13,13,Đang dùng 1 tháng ok . Sang tháng thư 2 bắt đau lỗi . Chán quá . Săp nguồn chết k lên dc . Lại còn cứ kêu tắt tình ắng chế_tài nghe j ý,2,3/6/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
14,14,"màn_hình sắc nét , pin trâu , chíp khoẻ , hình_thức máy đẹp . Vivo s1 Pro quá tuyệt_vời",5,2 tuần trước,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};
15,15,"Dùng hơn 2 tuần cảm_giác mọi thứ ok . Chỉ có sóng_sánh hơi kém.hay mất sóng . Có cách nào khắc_phục ko qtv , mong phản_hồi",3,3 tuần trước,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};
16,16,"Mình mua chưa đc 1 tuần mà tình_trạng pin còn 98% thì có đổi lại đc hk .. vs lại nhiều khi bị đứng máy , thấy nản quá",1,15/04/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
17,17,Vừa mua xong và chỉ muốn trả lại máy ngay vì camera quá tệ cả camera trước lẫn sau : ) khuyên ai chụp ảnh nhiều như mình thì k nên lấy con này,2,16/07/2020,{CAMERA#Negative};{OTHERS};
18,18,May mới mua được 1 tháng . Pin ổn . Chụp hình xấu . Cái viền máy mới_đây bị tróc sơn rồi . Quá thất_vọng,1,18/05/2019,{CAMERA#Negative};{BATTERY#Positive};{DESIGN#Negative};{GENERAL#Negative};{OTHERS};
19,19,Bị các app ngân_hàng chặn đăng_nhập vân tay . K đáng_giá 27tr . Mua về chip đã yếu giờ lại bị chặn ngay chức_năng vân tay_trong màn_hình .,1,6/11/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{PRICE#Negative};
20,20,Mọi thứ ok.mình thấy pin trâu chứ có sao đâu.mua đc 2 tuần rồi chỉ có cảm_biến vân tay ko nhạy như mong_đợi thôi .,4,8/4/2020,{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Positive};
21,21,Máy đã được nâng_cấp bản cập_nhật và sửa lỗi Bluetooth đã nghe nhạc qua Bluetooth ngon_lành,5,26/01/2020,{FEATURES#Positive};{PERFORMANCE#Positive};
22,22,Máy cũng xài tạm ổn . Màn hình nó ko được nhay nhiều lúc phải bấm vài lần mới được .,2,9/9/2019,{FEATURES#Negative};{GENERAL#Neutral};
23,23,"Máy mượt , dùng tốt , pin ok chụp hình đẹp .. Mới mua về nên cần thời_gian dùng tiếp",5,11/5/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};
24,24,Không biết mn sử_dụng như nào chứ mình thấy máy ok lắm mà nên mình cho 5 sao chỉ kém ở phần pin hơi thấp tất_cả đều ok,5,2 tuần trước,{BATTERY#Negative};{GENERAL#Positive};
25,25,Máy quá kém chơi game thì giật giật máy mau nóng quá không hợp với giá 13 triệu đó giờ xài oppo không giờ mua samsung kg dám mua cái thứ 2 .... QUÁ TỆ,1,21/04/2020,{PERFORMANCE#Negative};{PRICE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
26,26,"Khá ngon trong tầm giá , màn_hình lớn chơi game xem phim ngon , chip khá mạnh chỉ hơi ấm tí",4,10/5/2020,{SCREEN#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
27,27,"Cho em hỏi là máy em , mua được 1 tuần mà máy lâu_lâu em nghe cái cốc , như là bị lỏng gì ở trong vậy , như_vậy có vấn_đề j k_anh",1,4/5/2019,{OTHERS};
28,28,"Sau vài ngày sd sp ... thấy đt cx tạm ổn . Nếu vừa xài vừa xạc thì cảm ứq sẽ bị đơ , pin tuột nhanh . Vân tay xài cx khá ổn ...",4,5/8/2019,{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Neutral};
29,29,Hàng Sài tạm thì được không mượt_mà lắm . Vi_xử_lý kém . Nếu chơi game lien quan thì yếu,1,5/4/2020,{PERFORMANCE#Negative};{GENERAL#Neutral};
30,30,"Sản phẩm tốt , nhân_viên nhiệt tình tới tận mình ra về , có điều pin không như mình mong đợi mặc dù không tác vụ gì nhiều , 32gb bộ nhớ thật sự khó đủ với mình mặc dù mình không chứa gì nhiều . Nói chung mọi thứ khác đều ok ^ ^",4,6/11/2018,{BATTERY#Negative};{DESIGN#Negative};{GENERAL#Positive};{SER&ACC#Positive};
31,31,Sản_phẩm tốt trong tầm giá nhưng đôi_khi máy hơi bị giật lác không được mượt_mà lắm,5,25/02/2020,{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Positive};
32,32,"Máy trong tầm giá này thì bth vì được cái pin nó trâu . Đang dùng ngon_lành tự_nhiên sập nguồn , bị đơ , bấm mở nguồn lại ko đc phải chờ đến 10p sau mới mở nguồn lại . Cv của mình toàn trên đth ko thôi mà bị vậy đang có cv thì tự_nhiên đơ rồi cái_rụp sập nguồn muốn đập lắm lun á . Đang có ý_định đổi qua máy khác . Không biết đc không",1,12/4/2020,{BATTERY#Positive};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};{OTHERS};
33,33,"Quá ngon trong tầm giá , lần đầu dùng smartphone mà không phải đi đâu cũng kè_kè cục xạc , giải_trí căn_bản pin 2 ngày .",5,21/04/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};
34,34,"Mình mua 3 ngày về xài thấy rất tốt . Do công_việc nên hầu_như xài suốt ngày , 4g mình bật 24/24 nhưng pin xài chỉ 70% ( 6 giờ sáng đến 20 giờ ) . Trong khi những dt khác mình xài phải sạt 2 lần . Về tất_cả chức_năng còn lại mình thấy rất mượt , mình rất hài_lòng về sản_phẩm . Máy chạy không bị nóng . Mình sẽ mua thêm sản_phẩm cho gia_đình xài .",5,16/01/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
35,35,"Mình thấy các bạn cứ chê . Mình thấy máy dùng ok mà . Ko bị lag , fb , tiktok , coi phim , loa đều ok cả . Mình dùng dt để quay_phim , chụp ảnh , bán hàng online thôi chứ k game gủng gì . Dùng messeger , rep ib ko bị đơ là sung_sướng , nghe gọi loa to rõ ràng.Nhất là khoản thu cũ đổi_mới còn hỗ_trợ trả_góp O% nữa Mình đổi note8 lấy máy này . Lo note8 nhỏ , máy dùng hơn 2 năm dãi_nắng_dầm_mưa cùng mình rồi nên giờ cũng hay đơ nên dạo này hơi stress . Lăn_tăn mãi chưa đổi vì bỏ ra nhiều tiền để mua máy mới quá tiếc . Ko nghĩ_lại đơn_giản đến thế luôn . Đưa máy cũ đến , cầm máy mới về . Bắt_đầu từ tháng sau mỗi tháng thanh_toán 1tr3 trong vòng 9 tháng Thích bạn nhân_viên tư_vấn , nhiệt_tình cực_kỳ",5,14/06/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
36,36,Camera trước khi khởi_động phát ra âm_thanh rất khó_chịu . Không giống bth mà kêu rè rè kiểu gì ấy,3,23/03/2020,{CAMERA#Negative};
37,37,"Mình mới mua máy hơn tuần dùng rất là ok luôn , nhân_viên tgdđ thì nhiệt_tình đáng yêu .. Nói_chung là tuyệt với",5,18/05/2019,{GENERAL#Positive};{SER&ACC#Positive};
38,38,Sản_phẩm khá tốt trong tầm giá nhưng sao sạc pin nó nóng thế mặc_dù tôi đã tắt ánh_sáng và mạng đi và xoá các tác_vụ trang nhưng nó vẫn thế,3,3/4/2020,{BATTERY#Negative};{PRICE#Neutral};{GENERAL#Positive};
39,39,"Máy đẹp , chạy mượt_mà , pin sài ổn , sạc 3 tiếng đầy pin , giá_cả hợp_lý , vì mình có mua dung_lượng icloud nên 32gb sài củng tạm !",5,6/2/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{STORAGE#Neutral};{DESIGN#Positive};{PRICE#Positive};
40,40,"Máy lag , không nhúc_nhích được , TGDD thì không cho đổi trả . Đã mua rất nhiều ở TGDD và đây là lần cuối_cùng . Thề tẩy_chay TGDD",1,21/09/2019,{PERFORMANCE#Negative};{SER&ACC#Negative};
41,41,Pin 5000 nhưng dùng trong 1 ngày anh nhân_viên cute cam chụp đẹp Nhưng xem vd trên Youtube chỉ 720p là căng,5,28/03/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{SER&ACC#Positive};
42,42,"Pin trâu , thích nhất phần chụp hình ... Ok trọn_gói , nhân_viên phục_vụ nhiệt_tình ...",5,2/11/2019,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
43,43,"Màn_hình xấu nó ngà_ngà xấu hơn cái màn_hình note 6 pro đang xài , camera lồi quá mất thẩm_mỹ ....",4,5/4/2020,{SCREEN#Negative};{DESIGN#Negative};
44,44,Đã mua sản_phẩm iPhone 7Plus 128G tại TGDĐ và Cảm_thấy OK . Lúc mới mua giá tương_đối cao . Giờ giá đã tốt hơn nhiều . Minh se tiếp_tục mua sản_phẩm của Apple trong thời_gian tới .,4,19/06/2017,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
45,45,Hiện_tại dùng thấy rất ổn . Camera_OK . Cấu_hình tốt . Pin trâu . Máy mới mua nên dùng khá ổn,5,25/11/2019,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
46,46,Pin trâu loa to thích nhất dong ss . ko bao_giờ là thất_vọng dòng ss . đặc_biệt là mua ở tgdd mấy anh_chị nhân_viên tư_vấn rất nhiệt_tình . mk sẽ ủng_hộ dài_dài,5,21/07/2020,{FEATURES#Positive};{BATTERY#Positive};{SER&ACC#Positive};
47,47,"Pin sạc lâu quá . Mình cắm sạc từ lúc 6h mà đến 9h20 mới được 80% . Độ sáng màn_hình không được đều , chỉnh xuống 50% thì quá tối so với các dòng máy khác , xuống 20% thì siêu tối luôn , cứ phải để độ sáng trên 70% < mới rõ_ràng được nhưng rất hao pin . Máy cũng mượt chơi Free_Fire ok , PUGB hơi giật tí lúc đầu nhưng không sao . Trong tầm giá thì chiếc này quá tốt .",5,8/4/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
48,48,"Tại_sao không gửi đánh_giá được vậy ? Đt không xứng với giá tiền . Cam tệ , chụp bị vỡ , không nét , chụp đêm rất thảm_hại . Một_trời_một_vực với quảng_cáo . Pin tụt rất nhanh , sd ít nhưng chưa được một ngày . Loa không hay và nhỏ . Được_cái cảm_biến vân tay và gương_mặt khá nhạy . Chắc còn mới nên vậy . Nói_chung là nên mua dt khác với giá 7 tr 5 . Thiết_kế còn xấu hơn nova 3i nữa . Nhận được tiền học_bổng là phi đi mua dt liền mà mua trúng cái dt chán quá . Thất_vọng tràn_trề .",2,11/4/2019,{CAMERA#Negative};{FEATURES#Neutral};{BATTERY#Negative};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Negative};
49,49,Mình mua cũng đc gần 2 tuần nhưng đang chơi game hoặc xem tik tok thì wf cứ bị ao r xong kết_nối lại rất nhiều lầm,5,10/8/2019,{PERFORMANCE#Negative};
50,50,"Mua hôm 18/1 . Máy tốt , mượt . Bin bền . Cam tạm đc . Nói_chung rất ổn trong tầm giá . Nhân_viên chu_đáo nhiệt_tình .",4,18/01/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
51,51,Mik mới mua máy được 1 tuần.Mình để qua đêm thì máy hao mất 3 % . Máy mới mua mà pin đã vậy rồi .,2,2/4/2020,{BATTERY#Negative};{OTHERS};
52,52,"Iphone 7 plus màu đen nhám đẹp , máy xài rất êm . Mua lúc 20-10-2017 tới nay cũng gần 7 tháng rồi vẫn để ios 10.2 xài mượt , camera chụp hình đẹp , máy mượt_mà , nói_chung là quyết_định đúng_đắn khi mua máy này ! !",5,5/5/2018,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};
53,53,"Cảm_ứng vân tay k nhạy lắm , xem phim cũng chẳng tràn hình , sài thì tạm đc , k được như mong_đợi ...",1,2/8/2019,{SCREEN#Negative};{FEATURES#Negative};{GENERAL#Neutral};
54,54,"Sử_dụng một tuần , máy màn_hình đẹp xem phim nghe nhạc rất tốt.chơi game nặng như liên_quân PUBG rất mượt nhưng chơi khoảng một tiếng máy nóng lên là bị giật lag . Pin 4000 nhưng thật tế ko trâu vì màn_hình lớn độ_phân_giải cao nên tuột pin khá nhanh.chụp ảnh được màu_sắc trung_thực rõ nét . Trong tầm giá 5tr con này là tốt nhất",4,21/07/2019,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{PRICE#Neutral};
55,55,Tôi mua được 2 tháng . bây_giờ dùng bị đơ máy.thao tác phải thật chậm mới dc . có cách giải_quyết k QTV,1,7/4/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{OTHERS};
56,56,Wifi của điện_thoại không được tốt cho lắm mới_đầu tưởng sp lỗi đi đổi lại nhưng vẫn như_vậy . Được_cái tgdd phục_vụ rất tốt rất hài_lòng,5,5/2/2018,{FEATURES#Negative};{SER&ACC#Positive};
57,57,may ngon rẻ chụp nét và chơi game ít nóng mình dù đồ_hoạ cao nhưng m ngon hơn samsung,5,14/05/2020,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};
58,58,Video màu_sắc nhợt_nhạt lắm . Nhưng chuyển từ bé màn_hình lên full màn trong Youtube thì video lại nhảy màu_sắc sống_động hơn . Chỉ 1s mong sớm sửa lỗi,4,3/4/2020,{SCREEN#Neutral};{OTHERS};
59,59,"Nhanh hao pin , không làm gì cũng hao , làm_sao để hiển_thị thông_báo trên màn_hình khoá",5,1 tuần trước,{BATTERY#Negative};{PERFORMANCE#Neutral};
60,60,Sau cảm trước chụp ảnh thấy mờ và nhạt quá mắc dù điều_kiện_đủ sáng.cam sau thì thấy tâm ổn,3,25/06/2020,{CAMERA#Negative};
61,61,mình quá thất vọng về sam sung.du ̀ng tháng 3 ngày hỏng mích thu mang đến tt bảo hành sửa lại phải chờ 2 ngày mới lấy dk.mich thu mà chưa có nữa thì cũng gọi là ttbh sam sung nữa chứ . vân tay thì chưa bao giờ mở dk 1 lần,2,12/1/2020,{FEATURES#Negative};{SER&ACC#Negative};
62,62,tất_cả đều OK nhưng sóng hơi yếu ở ngay cột sóng mà có được 2 cột sóng thôi mong có bản cập_nhật chỗ này để khắc_phục được,5,23/07/2020,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};
63,63,Máy ok mà mấy bạn . Chơi game khoẻ . pin châu nữa . rất tuyệt vs tầm giá . . chưa thấy lỗi gì hết,5,1/5/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
64,64,"Máy hoàn_thiện về mặt thiết_kế cũng như hiệu_năng , chơi pubg , tft mobile mượt_mà , nhưng do sạc nhanh 30w nên lúc đầu hơi nóng",5,2 ngày trước,{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};
65,65,máy mình dùng sau 3 tháng khá ổn_định . về pin và hiệu náng sản_phẩm này đem lại . không có nút 6 * để mình ấn luôn . ae nên mua con này thiết_kế vừa đẹp mà cấu_hình cao chạy đa_nhiệm tốt !,5,16/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};
66,66,"Nói_chung điện_thoại xài oke , chỉ có cái pin là ko ưng bụng lắm . Pin sạc sáng 6h là 100% tới chiều 15h 16h cũng rớt khoảng 25% đến 30% mặc_dù không dùng vào chơi game hay truy_cập trang mạng khác chỉ thỉnh_thoảng nghe gọi thôi mà cũng rớt nhiều pin đến vậy 4.000 mAh mà cứ như 3.000 mAh vậy",5,19/12/2019,{BATTERY#Negative};{GENERAL#Positive};
67,67,"Nhắm_mắt ra mua , ai dè máy tệ ko thể chấp_nhận được , giật lag đơ cảm_ứng liên_tục , nhân_viên tư_vấn thiếu nhiệt_tình",1,16/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
68,68,Tuyệt vời.đánh giá trận thực.cùng ủng_hộ thường hiểu viết để người vn mình có nhiều việc_làm .,5,14/05/2020,{GENERAL#Positive};
69,69,"Mua cũng được gần 1tuaan sài khá ổn , dung_lượng cao , pin sài khá lâu mà có cái muốn làm dì cũng phải vô cài_đặt mơis được .",4,30/03/2019,{BATTERY#Positive};{GENERAL#Positive};
70,70,"Điện_thoại còn trong thời_gian bảo_hành , một loa bị hỏng , nhưng cần 10 ngày để sửa_chữa là không_thể chấp_nhận . Cẩn_trọng khi mua .",3,30/05/2020,{FEATURES#Negative};{SER&ACC#Negative};
71,71,"Đã đổi đến con thứ 2 và đang định đi đổi con thứ 3 . Máy đẹp , cam cũng đẹp , dùng khá thích . Cho đến khi nó đơ như cây cơ . Máy mới mua vài ngày mà đơ đơ liên_tục . Con thứ 1 vừa đơ vừa chụp selfie bị lỗi , bouns thêm quả tụt pin thần_thánh = > đổi Con thứ 2 , mượt được 2 ngày , giờ thì đơ , cam trước oke thì cam sau giở_quẻ , chụp ảnh "" lạc trôi "" luôn , may_mà pin xịn , dùng k nhiều lắm nên 2 ngày sạc 1 lần . Giờ đi đổi cũng chả biết nên gởi lòng tin / vận may của mình vào máy nào . Bác nào xài con nào ngon trong tầm giá 5-6 củ cho e xin ý_kiến . Tks",1,9/6/2020,{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};{OTHERS};
72,72,Mới mua về sử_dụng được 1 tuần mà sao mình thấy mỗi lần đăng ảnh lên FB hay instagram thì ảnh đều bị vỡ bị mặc_dù ảnh lúc chụp rất nét không biết có_thể đổi trả được k,5,31/07/2020,{OTHERS};
73,73,"Lần đầu mình xài điện_thoại oppo , nói_chung là không mượt như quảng_cáo , mình mua giá 13,9 triệu , không đáng với giá đó , chụp ảnh cũng không đẹp .",1,14/06/2020,{CAMERA#Negative};{PERFORMANCE#Negative};{PRICE#Negative};
74,74,Sau 1 tuần sử_dụng pin cũng bình_thường camera hơi xấu . lướt wed chơi game ở mức_độ tạm chấp_nhận được . Máy ram 6gb mà chạy đa_nhiệm cực chán chỉ được bộ_nhớ_trong của máy lên tận 128 nên không lo bị đầy theo đánh_giá của mình trong tầm giá này vivo y19 thua máy khác về mọi mặt,3,25/12/2019,{CAMERA#Negative};{BATTERY#Neutral};{PERFORMANCE#Negative};{STORAGE#Positive};{PRICE#Neutral};{GENERAL#Negative};
75,75,"Máy dùng rất ổn , nhưng chơi ff không đc nhạy cho lắm , khá ổn rất đáng vs giá tiền",5,9/7/2020,{PERFORMANCE#Negative};{PRICE#Positive};{GENERAL#Positive};
76,76,Rất là ok . Nhân_viên phục_vụ xinh gái . Cảm_thấy tuyệt_vời về mọi chức_năng . Game các thứ rất ok . Loát ap fb hay mess ytb rất nhanh . Màn_hình to coi phim rất đã . Camera thì không đẹp lắm . Nhưng_mà dô app lightroom chỉnh lại thì tuyệt_vời . Mọi người nên mua sp này,5,1/7/2020,{SCREEN#Positive};{CAMERA#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
77,77,"May sài con media , chip của đài_loan mau hư may và choi không nổi vô game hay bị đơ , dc cai chup hinh đep bền ngoai con ben trong thì sai khong OK , pin mau tuột , sac thi nhanh nóng máy , thay k gi nổi_trội",1,13/05/2020,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
78,78,sử_dụng đc hơn 1 tháng cảm_nhận mọi thao_tác thông_thường đều mượt xem phim lướt web thời_gian dài pin vẫn k ấm lên ... chơi game thì chỉ ấm lên một_tí ... nếu chỉ xem ytb và web thì dư một ngày ... chơi game đc tầm 20 trận liên_quân pin vẫn dư 40% có đều chip này chỉ chơi mượt ở mức trung_bình nếu sd wifi thì full đồ_hoạ đc ... nói_chung bá_đạo trong tầm giá vì sở_hữu camera tốt nhất trong tầm giá màn_hình sắc nét nịnh mắt,5,16/08/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Neutral};{PERFORMANCE#Neutral};{PRICE#Neutral};{GENERAL#Positive};
79,79,"Mới mua hôm_nay ở shop tại Cát_Tiên - Lâm_Đồng . Nhân_viên tư_vấn quá nhiệt_tình và hiếu_khách , cực_kỳ ấn_tượng . nói_chung máy cực tốt nhưng về phần cập_nhật thì Crom không_thể cập_nhật được trong khi tất_cả ứng_dụng đều cập_nhật được !",5,26/04/2020,{PERFORMANCE#Negative};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
80,80,"Sài chưa được 6 tháng thì máy lâu_lâu máy bị đơ.wifi thì yếu.sóng gì cũng yếu.đang sài tự_nhiên đứng máy ln , bấm nút nguồn mở lại mới sài được ... chán vãi ....",1,5 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
81,81,Sau 20 ngày sd thấy chơi game khoẻ không nóng nghe nhạc hay pin khá trâu camera trước không được ưng cho lắm,3,16/06/2019,{CAMERA#Negative};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};
82,82,Máy bị đơ màn_hình khi chơi pubg va liên_quân cho hoi xin doi may dc ko con moi thu deu on xai ok,3,6/5/2019,{PERFORMANCE#Negative};{GENERAL#Positive};
83,83,Máy rất kem khi chưa dùng được chưa được 1 tháng máy bị lỗi xuống đổi lại máy khác nv ko cho đổi.thật sự máy dùng rất bị lỗi,1,16/04/2020,{GENERAL#Negative};{SER&ACC#Negative};
84,84,Mặc_dù chưa mua nhưng thấy tốt cho 4 nếu mua về thấy tốt thì cho luôn 5 sao thấy pin 5000 là ưng rồi đó,5,20/02/2020,{BATTERY#Positive};{GENERAL#Positive};
85,85,"Đã dùng thử , cảm_giác rất tệ , lần đầu dùng đc 2 ngày ra đc đổi 1 cai redmi mới , sản_phẩm lỗi",1,24/07/2020,{GENERAL#Negative};
86,86,Bắt sóng wifi rất kém hi_vọng ra bản cập_nhật sắp tới và cam hơi nhoè pin tạm ổn pin này là lipo mn nên tham_khảo trên gg,4,24/05/2019,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Neutral};
87,87,"Loa điện_thoại quá nhỏ .. 1 thág trở_lại đây liên_tục gặp tình tình_trạng âm_thanh kém full hết cở mà nghe nhạc , gọi điện_thoại , gọi zalo , nói mic trong game đều rất nhỏ phải đeo tai nghe .. quá tệ",3,16/02/2020,{FEATURES#Negative};{PERFORMANCE#Neutral};
88,88,Mua máy được 15ngày ... sử_dụng thấy ok trong tầm giá.chỉ là thi_thoảng lỗi camera vs lỗi cuộc_gọi ... còn lại thì mình không ý_kiến gì nữa .,5,30/04/2020,{CAMERA#Negative};{FEATURES#Negative};{PRICE#Neutral};{GENERAL#Positive};
89,89,"Máy đẹp , cảm_ứng rất nhạy , màn_hình to , âm_thanh rõ lướt mượt , bắt sóng Wi-Fi cũng như 4G tốt với mức giá . Anh quản_lý ở TGDD 1197 CMT8 Tp. Tây_Ninh lịch_sự , dễ_thương",5,7/3/2019,{SCREEN#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Neutral};{SER&ACC#Positive};
90,90,"Đt sài rất tốt luôn , pin trâu nữa , nhân_viên nhiệt_tình , không có chỗ nào để chê hết",5,4/4/2020,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
91,91,"máy giá rẻ , cấu_hình cao , thương_hiệu OPPO cũng lớn , đang có chương_trình khuyến_mãi .",5,25/12/2019,{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};
92,92,Sản_phẩm rất ok nhân_viên tgdđ gia_bình bắc_ninh rất nhiệt_tình người Việt dùng hàng Việt,5,26/02/2020,{GENERAL#Positive};{SER&ACC#Positive};
