,index,comment,n_star,date_time,label
18,18,"Camera chụp đẹp nhân_viên phục_vụ nhiệt_tình vui vẽ , tiếc cái bộ quà tặng k có liên phải đợi",4,27/12/2019,{CAMERA#Positive};{SER&ACC#Neutral};
19,19,Sp dùng rất tốt trong tầm giá tầm 2tr . Các tác_vụ rất tốt không thua gì các máy tầm trung khác,5,12/10/2019,{FEATURES#Negative};{PRICE#Neutral};{GENERAL#Positive};
20,20,"iphone là 1 đẳng_cấp , hàng chính hãng tgdd bảo_hành rất là tuyệt_vời , mua hàng điện_thoại ở tgdd mình rất yên_tâm , cảm_ơn",5,8/6/2018,{SER&ACC#Positive};
21,21,Rất tuyệt vời.pin.camera.mạng.v.v .. rất ok.có lẽ máy này sứng đáng vs giá.mua k hối_hận chút nào,5,25/12/2019,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};
22,22,"Sau 2 ngày trải_nghiệm thấy máy tốt trong tầm giá , mượt , pin 6p tụt 1% chỉ dùng các tác_vụ bình_thường kh chơi game có dc kh mọi người ( kh hài_lòng lắm ) , camera nét , bắt wifi khoẻ .",4,10/2/2020,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
23,23,"Không nóng , nhưng mau hết pin , bắt wife khá yếu , dùng được nửa tháng thấy ổn nhưng bắt wife chán quá chán .",3,7/6/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};
24,24,"Pin quá tệ , xạc đầy 100% , để 4g và lâu_lâu check fb , zalo , trong vòng 7 tiếng đồng_hồ rớt 50% pin , bó_tay , thất_vọng về đt này , khuyên ko nên mua",1,25/10/2019,{BATTERY#Negative};{GENERAL#Negative};
25,25,"Sản_phẩm chụp hình rất đẹp . Máy dùng mượt , chơi game ổn . Nói_chung rất ok nè ....",5,16/06/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
26,26,"Mới mua chưa đc 1 tháng tụt 2% pin.chỉ nghe gọi , thỉnh_thoảng youtube.còn lại ok .",3,14/11/2019,{BATTERY#Negative};{GENERAL#Positive};
27,27,5 sao máy đẹp camera đc Game ngon có_thể nói là máy phân khúc giá 2990 máy này là trùm quá ngon Khi mua về t thấy âm_thanh trong game My_Tom nghe cứ ừừ Mặc_dù vậy máy ngon ,4,12/6/2020,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
28,28,"Đã mua xài được tháng nói_chung là hài_lòng vì không chơi game mua vì độ lạ độc sang .. pin lâu , màn ság đẹp , chụp ảnh ok",4,6/1/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};
29,29,sản_phẩm rất tốt đặc_biệt camera pin trâu quá tuyêt vời so với tầm giá so với a51 thì ok hơn,5,23/01/2020,{CAMERA#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};
30,30,"Cũng có thẩm khảo trước khi mua , sau khi mua về sử_dụng được 2 tuần thì mình cảm_thấy rất hài_lòng với sản_phẩm và với tầm giá 3,3 triệu",5,18/03/2020,{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
31,31,Không biết các bạn thì sao chứ mình thấy nếu ai thích chụp ảnh thì nên chọn con này,4,24/04/2020,{CAMERA#Positive};
32,32,"Mua 1 cái về làm điện_thoại phụ phát 4G cũng tốt rặc đi , thêm cái màn_hình lớn tiện xem youtube cho con_cái",5,23/12/2019,{SCREEN#Positive};{FEATURES#Positive};
33,33,"Dùng hơn 1 tháng và giờ xảy ra lỗi jack cắm tai nghe , ko cắm nó vẫn hiển_thị cắm ko nghe nhạc hay gì đc",3,16/09/2019,{DESIGN#Negative};
34,34,"Mê nhất táo khuyết . Thích nhất củ xạc , xạc rất nhanh mà ko hề nóng lên tí nào . Hàng thì khỏi chê",5,5/7/2020,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
35,35,"mua đc 2 tháng dùng máy rất ok , pin khoẻ , với giá này cấu_hình máy ok ! cho 5 sao ạ",5,10/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
36,36,"Mua đc 10 ngày , đánh_giá chung máy ok , pin kém , chơi liên_quân bị giật và tự văng ra một lần . Theo_dõi thêm mấy ngày nếu vẫn bị văng ra thì đổi ngay .",4,30/07/2019,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Positive};
37,37,"Mới mua hôm_qua , dùng rất mượt , cảm_ứng vân tay rất tốt nhưng camera trước thì trắng_bệch , đáng với giá tiền !",3,3/5/2020,{CAMERA#Negative};{FEATURES#Positive};{PERFORMANCE#Positive};{PRICE#Positive};
38,38,Tôi mới mua 1 chiếc vsmart bee dùng đc vài hôm như gì mới_đầu thì tạm nhưng dùng tầm 1 tuần cảm_ứng loạn tùng_phèo ứch chế đập luôn,1,26/12/2019,{FEATURES#Negative};
39,39,Điện_thoại này sài ngon . Hợp với tui tiền nữa . Pin cũng trâu . Mình chơi game 4 g khoảng 10 tiếng mới hết pin . Chụp hình cũng tạm ổn . Các bạn nên mua xài,5,20/05/2020,{CAMERA#Neutral};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};
40,40,Mình mới mua dc 10 tiếng đánh_giá thì bin tuột hơi nhanh ko trâu như mình nghĩ . Xài ổn . Chụp hình 48 mp xấu ngang con camera 16 mp . Loa nằm vị_trí khó cho những game thủ .,2,1/7/2020,{CAMERA#Negative};{BATTERY#Negative};{DESIGN#Negative};{GENERAL#Positive};
41,41,"Mua máy để chơi ark Mobil mà không chơi đc , lâu_lâu màn_hình hay bị đơ và chớp_chớp",3,7 ngày trước,{PERFORMANCE#Negative};
42,42,Nó còn bị nhiệt khi chơi game nữa ko và nó chơi game ngon hơn realme 5 pro ko Mong shop trả_lời,4,23/02/2020,{OTHERS};
43,43,Mua dc gần 1 tháng.giờ máy có hơi chậm . Chơi pubg . Lag liên_tục . Còn lại mọi thứ khá ổn,3,8/8/2019,{PERFORMANCE#Negative};{GENERAL#Positive};
44,44,Mở khoá bằng vân tay quá chán . Ko bằng mấy con tàu khựa . Cam tạm được . Pin cũng ok,2,23/04/2020,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Neutral};
45,45,"máy ngon chơi game mượt khỏi bàn pin ổn , chơi hơn 20p mà hao có 7 phần trăm pin",5,31/01/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
46,46,"Mới mua hôm_qua , nghe bảo không có gg , lúc đâu nghỉ sẽ dỏm lắm , k ngờ khi cài được tất_cả fb , zalo , youtube thì xài khá la mươt luôn , quá ngon luôn , tặng sạc dự_phòng nữa chứ . Tuyệt",5,1/6/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
47,47,"May sai chua 1 nam di trung tam bao hanh 3lan . Sac ko vao , hu mic , pin nhanh het ...... nan",1,3 tuần trước,{BATTERY#Negative};{GENERAL#Negative};
48,48,"Máy pin rất trâu , cấu_hình rất mượt , chơi game không cảm_giác giật gì cả . Mọi thứ Ok cho 5 sao",5,26/05/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
49,49,Cảm_nhận cua mình thì sài mọi thứ ok.còn lại chán mỗi cái bắt wifi lúc dc lúc không có ai giống minh k,3,21/12/2019,{FEATURES#Negative};{GENERAL#Positive};
50,50,Máy đẹp pin trâu sạc hơi lâu và nhanh nóng gần camera nhân_viên tư_vấn nhiệt_tình,2,12/1/2019,{BATTERY#Neutral};{DESIGN#Positive};{SER&ACC#Positive};
51,51,"Máy good hơn mình nghĩ , chụp hình đẹp , game bao thắng , cấu_hình quá khủng , good",5,25/02/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
52,52,"ĐT samsung Galaxy a10s mình mới mua về xài chưa được 2 tuần , khi lướt bị đứng , nhảy mh , nhờ đến ktv tại đm kt 3 lần nhưng không khả_dụng . Thất_vọng quá đi",2,19/11/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
53,53,Camera quá tệ còn lại những cái tính_năng khác thì ok . Nếu camera mà rõ hơn xí nữa thì quá tuyệt,3,2/5/2020,{CAMERA#Negative};{GENERAL#Positive};
54,54,"mua từ đợt e nó mới ra , nói_chung . Độ hoàn_thiện , thiết_kế và cảm_nhận khi dùng quá ổn , quá tuyệt",5,25/10/2019,{DESIGN#Positive};{GENERAL#Positive};
55,55,Sản_phẩm quá tốt với tầm giá gần 7 triệu cấu_hình ổn máy mượt dùng cũng tạm được 5 sao,5,22/12/2019,{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
56,56,Thật_sự mất niềm tin vào joy 3 quá.mua được một tháng mà sạc pin toàn báo nóng máy nong Kinh_khủng luôn chỉ sợ nổ.mà chỉ sạc được hơn 70% là không sạc được nữa tắt nguồn sạc pin thì mới được chán hàng Việt_Nam quá,1,10/5/2020,{BATTERY#Negative};{GENERAL#Negative};{SER&ACC#Negative};
57,57,mới mua chưa được nữa tháng mà lỗi rồi lỗi máy_ảnh thế_này có được bảo_hành hay là ko vậy,1,21/06/2020,{CAMERA#Negative};
58,58,"Máy mới mua về chơi game mượt nhưng sau tầm 1 tháng thì chơi game zingspeed mobile thì có tình_trạng tầm 5p là bị đơ màn_hình , còn các game còn lại như pubg liên_quân thì bình_thường",3,10/3/2020,{PERFORMANCE#Neutral};
59,59,Mình gần mot năm tất_cả đều ok.pin tốt sạc nhanh.chơi game ổn ko có gì phải chê cả,5,2 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
60,60,Pin chờ tụt nhanh quá đổi 2 cái mà vẫn vâyh chắc tại dòng này pin nó như_vậy ... nên đổi f11 pro sài thử,3,15/08/2019,{BATTERY#Negative};
61,61,Mới mua ! Mọi thứ tốt ( trừ camera ) Camera siêu lồi ( lồi ra khoảng 2 mm ) Với 4 camera sau cấu_hình khủng Nhưng độ chi_tiết của ảnh thì không bằng con redmi note 4 cũ ( đã test thử ) Thật hài_hước,5,13/04/2020,{CAMERA#Negative};{DESIGN#Negative};{GENERAL#Positive};{OTHERS};
62,62,"Không sử_dụng mà pin tụt nhanh hơn cả khi sử dụng.Vân tay không nhạy .. cứ báo k khớp , thua cả huawei .",1,19/09/2019,{FEATURES#Negative};{BATTERY#Negative};{SER&ACC#Negative};
63,63,"Khi lên mạng nặng hoặc quá lâu vẫn có hiện_tượng lag , ngoài_ra ko vấn_đề gì để phàn_nàn hết , mình đang đợi ốp lưng nữa là ok",4,2 tuần trước,{PERFORMANCE#Negative};{GENERAL#Positive};{OTHERS};
64,64,"Máy khá là ok . Mua về đc vài ngày pin khá khoẻ , sạc nhanh , chơi game rất mượt . Nhưng_mà nhận_diện khuôn_mặt ko đc nhạy lắm với_lại lúc mở âm_lượng hơi to tí thì lưng máy rung khá mạnh ko biết có phải lỗi ko",4,22/01/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
65,65,mình mua chưa tới 1 tháng mà lúc_nào củng mất kết_nối 4G . và mạng viettel.họ gọi tới toàn cuộc_gọi thuê bao.báo nhỡ.vào mạng thì chận rỳ.kỳ ghê,2,6/6/2020,{FEATURES#Negative};
66,66,Mới_đầu sử_dụng máy_ảnh khá ok nhứng sau 2 tháng mỗi khi phóng to lên x4 là nó thoát ra khỏi máy_ảnh,3,2 tuần trước,{CAMERA#Neutral};
67,67,Máy chụp hình đẹp . Mỗi dung_lượng pin k thích sài rất nhanh hết pin . 6h sáng sạc pin . Sài mới 15h đã còn 20% pin . Trong khi máy k sài liên_tục,4,3 tuần trước,{CAMERA#Positive};{BATTERY#Negative};
68,68,Không bán kèm phụ_tùng thay_thế ... chắc tôi đổi qua hàng khác quá .. camera thì tồi_tệ .. xài rất chán ...,1,11/4/2020,{CAMERA#Negative};{GENERAL#Negative};{SER&ACC#Negative};
69,69,Sao đang chơi game tự_nhiên máy kêt nối lại internet măt dù mạng rất mạnh Còn lúc mạng yếu thì lại hi bị là sao vây ạ ,2,17/05/2019,{FEATURES#Negative};
70,70,"Em mua được nữa tháng lướt cũng mượt pin cũng trâu sạc nhanh , nhưng không hiểu sao xài đc xí là máy nóng ngay phần trên của camera . Mua được nữa tháng tự tắt nguồn 2 lần . Cho e hỏi là do đâu vậy ạ .",4,18/07/2020,{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Negative};{OTHERS};
71,71,Đt mới mua về khoảng 3 tháng thì bị lỗi camera ko bậc đèn_pin đc mong chỉ cho em lỗi khắc_phục,1,29/10/2019,{CAMERA#Negative};
72,72,"Mua được 5 tháng rồi , máy đánh_rơi như bổ_củi vẫn chạy ngon rất mượt_mà , đáng đồng_tiền_bát_gạo , nhưng khuyên mọi người nên chọn máy màu đen nhé , nhân_viên bán hàng thì khỏi nói , cho 5 sao luôn .",5,24/02/2020,{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};{OTHERS};
73,73,"Khi không dùng thì lâu_lâu sẽ có hiện tượng tự_động mở bằng vân tay nhưng hiện lên_đồng chữ vân tay không khớp ( vì mình đâu có mở điện_thoại , điện_thoại tự mở rồi tự không khớp ) Về âm_thanh : âm_thanh nhạc chuông tỉ_lệ_nghịch với media , nhạc chuông thì chỉ cần mức 2 là đã to có_thể đủ nghe , còn khi mở media thì phải mở ở mức cao nhất mới có_thể nghe rõ",3,29/04/2020,{FEATURES#Negative};{OTHERS};
74,74,Sài được 1 tháng .. máy mạnh pin trâu .. ko thấy lỗi gì . Nhưng có 1 bất_tiện là máy không có ghi_âm cuộc_gọi .,4,22/06/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
75,75,Máy điện_thoại sam sung a31 ngon ... mỗi là cảm_biến vân tay hơi kén_chọn ... bẩn tý là ko nhận_dạng đc .... mọi thứ đều tốt .... nhân_viên ở vĩnh_yên ... Vĩnh_Phúc nhiệt_tình ..,5,28/06/2020,{FEATURES#Negative};{GENERAL#Positive};{SER&ACC#Positive};
76,76,"mọi thứ đều rất ổn , ngoại_trừ vân tay được 1đ , giống như thời mà điện_thoại hàng lậu giả mở khoá bằng vân tay vậy , đùa chứ mở mãi vân tay ko được ấy , pin bình_thường",3,18/06/2019,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Positive};
77,77,Mình mới mua hôm_nay . Thật_tình mà nói đó khá thất_vọng . Máy bắt wifi rất yếu thậm_chí bật 4g cũng muốn k nổi . Tải ứng_dụng trên CH play gần 30p chưa tải đc ? Màn_hình cảm_ứng k nhậy . So với con nova 3i rất kém xa . Đây là ý_kiến sau khi mua về nhà sau hơn 1h của mình . Xin cảm_ơn,1,14/05/2020,{FEATURES#Negative};{GENERAL#Negative};{OTHERS};
78,78,"Sản_phẩm tốt , nhân_viên nhiệt_tình . Cửa_hàng sạch_sẽ , đảm_bảo chất_lượng tốt . Rất cảm_ơn thế_giới di_động",3,23/05/2020,{GENERAL#Positive};{SER&ACC#Positive};
79,79,"Máy xài êm chạy mượt , pin trâu đáng đồng_tiền chơi pubg hoặc Liên_Quân thì ok mới mua sáng nay , nếu ai còn băn khoăng thì hãy mua đi không uổng tiền đâu , nhân_viên nhiệt_tình , vui_vẻ , sẽ mua đồ ở Điện_Máy Xanh dài_dài",4,17/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
80,80,"Điện_thoại bị tụt pin nhanh lắm , tắt mạng không sử_dụng vẫn xuống pin , thất_vọng , mới mua có_thể đổi lại không",1,16/11/2019,{BATTERY#Negative};{OTHERS};
81,81,"Máy tốt , chơi game mượt , máy_ảnh chụp cũng tạm , mới dùng đc 1 ngày nên chưa biết lâu_dài sẽ thế_nào , nhưng pin hơi tuột nhanh , tầm giá này thì k đòi_hỏi gì nhiều . Nhân_viên tư_vấn nhiệt_tình",5,20/06/2019,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
82,82,Mua được mấy ngày chơi game mướt sạc rất nhanh chỉ có vân tay không nhạy lắm nói_chung là ổn,4,7/5/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
83,83,Có ai giống mình k xm bản tin trong fb bị như thế_này . Dùng rất khó_chịu . Có ai biết cách khắc_phục k vậy .,3,27/02/2020,{PERFORMANCE#Negative};
84,84,Mua dc hơn tuần . Dùng dc tầm 7-9 h . tối_om mà vẫn mở khoá khuân mặt dc . chán cái call vidoe mờ tịt . Mua dc 2 hôm giảm 4tr2 xót tiền ~ ~,5,20/07/2019,{CAMERA#Negative};{FEATURES#Positive};{PRICE#Negative};
85,85,"Tôi đã mua f11 sử_dụng tư t 4/2019 đến t 2/2020 thì đổi mua a 9/2020 sài và so_sánh lại thì máy nhận Wifi kém , cảm_ứng k nhạy , k lướt và tệ hơn f11 xa . ",1,5/5/2020,{FEATURES#Negative};{OTHERS};
86,86,Hàng quá tệ.khong như gioi thiệu.chớ dại mua.chỉ đi bảo hàng mà mêt Thụi.xin hay tư_vấn cho người mua đúng,1,29/05/2020,{GENERAL#Negative};{SER&ACC#Negative};
87,87,Chơi game ít Lác_Pin trâu camera chụp hình đẹp NV tư_vấn tận_tình sẽ còn ủng_hộ tgdd Nhiều,5,23/03/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Positive};
88,88,"máy sài rất ok , chụp hình rất đẹp , truy_cập web nhanh , camera kép chụp hình xoá phông chuẩn .",5,30/05/2018,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
89,89,Tôi rất hài_lòng về sản_phẩm . Nhưng sao pin tuột nhanh vậy ạ . Lại còn sạc lâu hic,3,22/05/2019,{BATTERY#Negative};{GENERAL#Positive};
90,90,"Mình mua con này chưa được 1 tháng , dùng thấy cũng ok , lướt mượt , đa_nhiệm tốt , chơi liên_quân ko giật lag nhưng sao pin 4000 mà dùng chưa được 1 ngày đã hết rùi ? Mà máy dùng 1 lúc là bị nóng phần lưng cạnh bộ camera là sao vậy ad ?",4,16/04/2020,{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};
91,91,Tai nghe vủa hãng khá hay,5,1 tuần trước,{SER&ACC#Positive};
92,92,Dùng điện_thoại oppo f7 quay sắc nét màu_sắc trung_thực . Đáng_lý ra điện_thoại mới ra_mắt se quay đẹp . Nhưng hình_ảnh chụp kể_cả quay_phim đều thua xa . Màu cứ ám đen_đỏ rất kỳ . Rất thấy vọng thua cả dt oppo f 7 .,3,1 tuần trước,{CAMERA#Negative};
93,93,"Máy mới mua đc tầm 2 tuần xài bắt_đầu lag kinh_khủng . Kéo ko mượt nữa mà kiểu rít rít . Chậm , đã vậy còn lâu_lâu tự_nhiên bị đứng xong văng ra khi đang sd . Máy mình chủ_yếu chỉ fb Zalo vs xài mấy app nhỏ chẳng có 1 cái game nào . Thất_vọng tràn_trề . Báo là đổi máy khi có lỗi đem ra thì lại bảo để gửi lên hãng kiểm_tra lỗi vài ngày . Thua",1,1/7/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
94,94,"Máy ổn , lq mượt , mọi thứ đều ổn có wifi 4g bắt sóng hơi yếu tí . Tóm_lại tốt trong tầm giá",5,29/02/2020,{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
95,95,Sản_phẩm quá tốt cho dân_cày game đồ_hoạ cấu_hình rất Ok chơi game lâu Ko nóng máy nha . Nhân_viên TGDD tư_vấn nhiệt_tình dễ_thương nữa chớ,5,29/10/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
96,96,"Mua 2 máy . Chất_lượng tốt tuy_nhiên NV giao hàng lần thứ hai không nhiệt_tình lắm.珞珞tuy nhiên mua máy rất ưng nên sẽ ủng_hộ TGDD dài_dài , ",5,10/3/2019,{GENERAL#Positive};{SER&ACC#Negative};
97,97,"con thứ 2 mua cho vợ , chụp cam sau thì tuyệt_vời AI + HDR dt màu đỏ thì đẹp lung_linh sang chảnh , pin khá cho 1 ngày sử_dụng",5,22/07/2019,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};
98,98,"Mình mới mua máy được 1 tháng , tất_cả đều ok có_điều pin nhanh hết quá mong sớm được hỗ_trợ .",5,7/1/2020,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};
99,99,Máy tốt nhưng em hơi thắc_mắc tại sai giác cắn tai nghe em cắm vô thì tiếng nghe ko rõ khúc mất khúc nghe cho em tại_sao vậy ạ樂樂樂,5,1 ngày trước,{FEATURES#Negative};
100,100,Đã dùng redmi 5 plus . Giờ chuyển xang redmi note 7 và đánh_giá 5 sao cho xiaomi nói_chung và note7 nói_riêng . Ko còn đòi_hỏi gì hơn trong tầm giá 4tr ( đã trừ km ) nếu cấu_hình này mà dán chứ samsung vào thì chắc phải 13 tr,5,15/09/2019,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
101,101,"Tốt , vừa_mới mua , ch biết chất_lượng ntn 128gb hết màu trắng đành Ph mua màu xanh : ( (",4,29/01/2020,{STORAGE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};
102,102,Máy đẹp nhẹ hiệu_năng tốt xài mang và wifi rất ok ngon hơn máy xài mặt lưng bằng kính,5,19/03/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};
