,index,comment,n_star,date_time,label,segmented_comment
10,10,Mọi thứ đều ngon trong tầm giá . Lần đầu xài Xiaomi cảm_thấy rất hài_lòng về chất_lượng,5,30/05/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,Mọi thứ đều ngon trong tầm giá . Lần đầu xài Xiaomi cảm_thấy rất hài_lòng về chất_lượng
11,11,"Khá ổn trong tầm giá , cam đẹp , sạc nhanh , màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi game tuy_nhiên màn_hình hơi tối so với ngoài_trời",5,3 tuần trước,{SCREEN#Neutral};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,"Khá ổn trong tầm giá , cam đẹp , sạc nhanh , màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi game tuy_nhiên màn_hình hơi tối so với ngoài_trời"
12,12,Đi thoại mượt chơi game ngon Âm báo_thức bật maxloa luôn nghe vẫn nhỏ Nhân_viên phục_vụ nhiệt_tình,4,7/6/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};,Đi thoại mượt chơi game ngon Âm báo_thức bật maxloa luôn nghe vẫn nhỏ Nhân_viên phục_vụ nhiệt_tình
13,13,"Máy rất tốt trong tầm giá . Pin trâu , màn_hình đẹp , to , camera đẹp , chơi các tựa game ở cấu_hình vừa_phải thì ổn , chỉ có đều là cảm_biến vân tay quang_học trong màn_hình hơi chậm , k có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu . Còn nv phục_vụ nhiệt_tình và chu_đáo",5,16/07/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"Máy rất tốt trong tầm giá . Pin trâu , màn_hình đẹp , to , camera đẹp , chơi các tựa game ở cấu_hình vừa_phải thì ổn , chỉ có đều là cảm_biến vân tay quang_học trong màn_hình hơi chậm , k có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu . Còn nv phục_vụ nhiệt_tình và chu_đáo"
14,14,"Mình mua dc 1 tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn , bắt sống wifi quá yêu , hối_hận",1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"Mình mua dc 1 tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn , bắt sống wifi quá yêu , hối_hận"
15,15,"Sản_phẩm quá tuyệt_vời , iphone 7plus camera đẹp , chơi game thì không sợ 1 game nào nặng cả , rất mượt , nhưng game nào có đồ_hoạ cao chơi sẽ bị sụt pin rất nhanh , máy nóng .. nhưng không sao , iphone 7 plus tuyệt_vời lắm rồi",5,18/04/2018,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,"Sản_phẩm quá tuyệt_vời , iphone 7plus camera đẹp , chơi game thì không sợ 1 game nào nặng cả , rất mượt , nhưng game nào có đồ_hoạ cao chơi sẽ bị sụt pin rất nhanh , máy nóng .. nhưng không sao , iphone 7 plus tuyệt_vời lắm rồi"
16,16,Dùng ok .. Mượt k nóng .. ( đt có 5 6 triệu mà mở max cấu_hình ròi kêu nóng ) Nhân_viên nhiệt_tình ..,5,7/12/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,Dùng ok .. Mượt k nóng .. ( đt có 5 6 triệu mà mở max cấu_hình ròi kêu nóng ) Nhân_viên nhiệt_tình ..
17,17,"Mới mua được 1 ngày . Ck dùng j 6+ , còn mình dùng con này . Wifi ck m lúc_nào cũng 3 vạch , mà dt này thì lúc 2 vạch , lúc 1 vạch , lúc đứng luôn . K hieur vì sao nữa . Dùng thấy bực_mình .",3,18/11/2019,{FEATURES#Negative};{OTHERS};,"Mới mua được 1 ngày . Ck dùng j 6+ , còn mình dùng con này . Wifi ck m lúc_nào cũng 3 vạch , mà dt này thì lúc 2 vạch , lúc 1 vạch , lúc đứng luôn . K hieur vì sao nữa . Dùng thấy bực_mình ."
18,18,Dùng thì cứ đơ máy bấm mãi mới khởi_động lại song nóng ran lên chán ko buồn nói kêu bảo_hành phần_mềm chọn đời mà dùng chưa dc đã hỏng,1,5 ngày trước,{PERFORMANCE#Negative};{OTHERS};,Dùng thì cứ đơ máy bấm mãi mới khởi_động lại song nóng ran lên chán ko buồn nói kêu bảo_hành phần_mềm chọn đời mà dùng chưa dc đã hỏng
19,19,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo_trì thì cài lại máy . _ . Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng",1,17/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo_trì thì cài lại máy . _ . Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng"
20,20,Máy dùng tốt với tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,5,30/03/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,Máy dùng tốt với tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua
21,21,Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,5,1/7/2020,{BATTERY#Positive};{OTHERS};,Sạc pin 100% r để k 10h mà k hao % nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun
22,22,Cho mình hỏi tắt quảng_cáo trên điện_thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng_cáo hoài ngày khi mình đã khoá màn_hình cũng chạy quảng_cáo . Mong được phản_hồi,5,5/1/2020,{PERFORMANCE#Negative};{OTHERS};,Cho mình hỏi tắt quảng_cáo trên điện_thoại ạ . Mới mua về vài hôm mà nó cứ tụ phát quảng_cáo hoài ngày khi mình đã khoá màn_hình cũng chạy quảng_cáo . Mong được phản_hồi
23,23,"Tất_cả mọi thứ đều ổn hết : màn_hình đẹp , máy chạy êm , pin sạc nhanh , màu mặt lưng đẹp . Nhưng chỉ tiết ở phần thiết_kế , phải_chi loa ngoài được đặt ở bên hông thay_vì đặt ở cạnh dưới như_vầy . Tay cứ bị đè lên loa khi sử_dụng í , cứ lo chính bản_thân đè nhiều quá sẽ làm loa hư . Thêm 1 cái nhỏ_xíu xiu : mới mua hôm_qua được giảm 500.000 đ , nay lên xem tuột xuống đươc giảm hẳn 1.000.000 đ . Tức ghê 若若",4,17/01/2020,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Negative};{GENERAL#Positive};,"Tất_cả mọi thứ đều ổn hết : màn_hình đẹp , máy chạy êm , pin sạc nhanh , màu mặt lưng đẹp . Nhưng chỉ tiết ở phần thiết_kế , phải_chi loa ngoài được đặt ở bên hông thay_vì đặt ở cạnh dưới như_vầy . Tay cứ bị đè lên loa khi sử_dụng í , cứ lo chính bản_thân đè nhiều quá sẽ làm loa hư . Thêm 1 cái nhỏ_xíu xiu : mới mua hôm_qua được giảm 500.000 đ , nay lên xem tuột xuống đươc giảm hẳn 1.000.000 đ . Tức ghê 若若"
24,24,"điện_thoại thiết_kế sang_trọng , cameraa chụp ảnh rất tốt , pin dùng ổn_định , máy dùng mượt , không bị đơ",5,19/08/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};,"điện_thoại thiết_kế sang_trọng , cameraa chụp ảnh rất tốt , pin dùng ổn_định , máy dùng mượt , không bị đơ"
25,25,"Máy màn_hình lớn , nhận_diện khuôn_mặt nhanh ( trong đk trời sáng ) , cấu_hình tạm ổn cho các tác_vụ cơ_bản , pin trâu , ... NV TGDD Nhiệt_Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi_nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh_nghiệm về các CTKM kiểu như_vậy )",5,4/3/2019,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Neutral};,"Máy màn_hình lớn , nhận_diện khuôn_mặt nhanh ( trong đk trời sáng ) , cấu_hình tạm ổn cho các tác_vụ cơ_bản , pin trâu , ... NV TGDD Nhiệt_Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi_nhánh tai nghe khg có hàng , phải đợi 10-15 ngày ( TGDD rút kinh_nghiệm về các CTKM kiểu như_vậy )"
26,26,Pin trâu . Giá rẻ . Cấu_hình ngon . Mượt_mà . Máy chơi game rất tốt . Nhân_viên tư_vấn nhiệt_tình,5,7 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};,Pin trâu . Giá rẻ . Cấu_hình ngon . Mượt_mà . Máy chơi game rất tốt . Nhân_viên tư_vấn nhiệt_tình
27,27,"Không nên mua , không tương_xứng trong cùng phân khúc , chụp ảnh kém mờ , được mỗi pin trâu .",1,15/03/2020,{CAMERA#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Negative};,"Không nên mua , không tương_xứng trong cùng phân khúc , chụp ảnh kém mờ , được mỗi pin trâu ."
28,28,"Cập_nhật lại ổn nhưng camera xấu xấu tệ , hy_vọng cập_nhật lại camera tốt hơn cho bản sau",3,14/06/2019,{CAMERA#Negative};{PERFORMANCE#Positive};,"Cập_nhật lại ổn nhưng camera xấu xấu tệ , hy_vọng cập_nhật lại camera tốt hơn cho bản sau"
29,29,Mới dùng đc tầm nửa tháng thấy khá là OK mượt Chơi game mức_độ mặc_định cũng OK pin đc lâu sạc nhanh,5,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,Mới dùng đc tầm nửa tháng thấy khá là OK mượt Chơi game mức_độ mặc_định cũng OK pin đc lâu sạc nhanh
30,30,"Mình mua máy samsung a20s được 4 ngày rồi . Nói_chung máy xài ổn trong tầm giá , pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên_quân thì tầm 1 ngày . Chụp hình đẹp , máy rất mượt . Chỉ có lâu_lâu cảm_biến vân tay không được nhạy , ngón tay hơi ướt xíu là máy không nhận được vân tay luôn , không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi_trường chăn_nuôi bụi cám này kia nhiều ) .",5,24/10/2019,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};{OTHERS};,"Mình mua máy samsung a20s được 4 ngày rồi . Nói_chung máy xài ổn trong tầm giá , pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên_quân thì tầm 1 ngày . Chụp hình đẹp , máy rất mượt . Chỉ có lâu_lâu cảm_biến vân tay không được nhạy , ngón tay hơi ướt xíu là máy không nhận được vân tay luôn , không có ốp lưng nên xài hơi bị xót xíu ( mình làm trong môi_trường chăn_nuôi bụi cám này kia nhiều ) ."
31,31,Tại_sao thì thoảng tôi mở máy thì phải đợi 5-10 s thì màn_hình mới lên nó làm tôi thấy khó_chịu còn lại thì ok,4,7/5/2020,{PERFORMANCE#Negative};{GENERAL#Positive};,Tại_sao thì thoảng tôi mở máy thì phải đợi 5-10 s thì màn_hình mới lên nó làm tôi thấy khó_chịu còn lại thì ok
32,32,"iphone luôn ổn_định , thiết_kế không có gì mới nhưng vẫn chưa lỗi_thời , mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày , bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi , thích iphone từ lâu mỗi_tội tài_chính eo_hẹp , đang tich góp để cuối năm rước một e zìa quê luôn .",5,28/05/2017,{BATTERY#Neutral};{DESIGN#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"iphone luôn ổn_định , thiết_kế không có gì mới nhưng vẫn chưa lỗi_thời , mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày , bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi , thích iphone từ lâu mỗi_tội tài_chính eo_hẹp , đang tich góp để cuối năm rước một e zìa quê luôn ."
33,33,Đã mua và đag dùng rất thất_vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh . Khuyên mọi người đừng mua ..,1,22/02/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,Đã mua và đag dùng rất thất_vọng camera mờ hay nổi quảng cáo.pin xuống rraats nhanh . Khuyên mọi người đừng mua ..
34,34,Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực . Mong Xiaomi việt_nam sớm có cách khắc_phục,1,19/04/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Neutral};,Lỗi lưu ảnh và viền 4 góc sáng . Khá là bực . Mong Xiaomi việt_nam sớm có cách khắc_phục
35,35,"Tôi nghĩ rằng nó được 4 star với 1,2 tr tầm giá rẻ rách , nếu_như đường truyền không chập_chờn thì nó sẽ được tôi đánh_giá 5 star .",4,25/12/2019,{FEATURES#Negative};{PRICE#Positive};,"Tôi nghĩ rằng nó được 4 star với 1,2 tr tầm giá rẻ rách , nếu_như đường truyền không chập_chờn thì nó sẽ được tôi đánh_giá 5 star ."
36,36,"Máy dùng ok , chỉ cài khoá mk , vân tay khuôn_mặt rồi mà khi mở lại ko cần , vuốt là mở đc , còn lại ổn , bluetooth bình_thường pin lâu , nhạc hay ..",4,23/01/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};,"Máy dùng ok , chỉ cài khoá mk , vân tay khuôn_mặt rồi mà khi mở lại ko cần , vuốt là mở đc , còn lại ổn , bluetooth bình_thường pin lâu , nhạc hay .."
37,37,Tgdd tôi không còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số 473 đường Kính_Dương_Vương làm tôi quá thất_vọng cảm giấc như mình bị lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi,1,4 ngày trước,{SER&ACC#Negative};{OTHERS};,Tgdd tôi không còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số 473 đường Kính_Dương_Vương làm tôi quá thất_vọng cảm giấc như mình bị lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi
38,38,Máy chs game khá mượt.pin trâu mọi vấn_đề đều ok sản_phẩm trong tầm giá này là quá tuyệt_vời * * * * *,5,19/06/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,Máy chs game khá mượt.pin trâu mọi vấn_đề đều ok sản_phẩm trong tầm giá này là quá tuyệt_vời * * * * *
39,39,"Điện_thoại đẹp , màn_hình rõ , nghe gọi OK , chụp hình cũng đẹp , giá tầm này thì quá OK rồi . nhân_viên TGDD thoại_sơn an_giang thì cực_kỳ dễ_thương luôn 殺殺殺",5,25/01/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};,"Điện_thoại đẹp , màn_hình rõ , nghe gọi OK , chụp hình cũng đẹp , giá tầm này thì quá OK rồi . nhân_viên TGDD thoại_sơn an_giang thì cực_kỳ dễ_thương luôn 殺殺殺"
40,40,"Xài ok , máy mượt , chụp ảnh đẹp , sạc nhanh mà sao nhiều bạn chê tào_lao quá . Pin 4k mà xài 1 ngày vầy là tốt rồi",5,21/12/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"Xài ok , máy mượt , chụp ảnh đẹp , sạc nhanh mà sao nhiều bạn chê tào_lao quá . Pin 4k mà xài 1 ngày vầy là tốt rồi"
41,41,"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu_hình , màn_hình , pin và tốc_độ sạc . Ultra chỉ hơn được về chụp ảnh thôi , còn Oppo find x2 max mượt , max phê",4,10/6/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,"Với s20 ultra mức giá này bằng với Oppo find x2 thì nên mua find x2 vì Oppo hơn hẳn con ultra về cấu_hình , màn_hình , pin và tốc_độ sạc . Ultra chỉ hơn được về chụp ảnh thôi , còn Oppo find x2 max mượt , max phê"
42,42,Máy mới mua về xài được 10 bựa tự_tiện bị đo treo logo 10p sau mới khỏi ding lại được . Tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không chụp được,1,22/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,Máy mới mua về xài được 10 bựa tự_tiện bị đo treo logo 10p sau mới khỏi ding lại được . Tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không chụp được
43,43,"Sau 1 tuần sử_dụng thì mình đánh_giá như sau , về camera thì thấy cũng bình_thường , cam truớc không được tốt lắm . Cấu_hình không bằng con Vsmart 5tr . Máy đẹp , nhẹ , mỏng . Pin cũng tạm , mỗi ngày sạc pin 1 lần . Bạn nào mua vì màn đẹp vs camera thì nên mua . Còn mua để chơi game thì ko nên lựa",4,1/4/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};,"Sau 1 tuần sử_dụng thì mình đánh_giá như sau , về camera thì thấy cũng bình_thường , cam truớc không được tốt lắm . Cấu_hình không bằng con Vsmart 5tr . Máy đẹp , nhẹ , mỏng . Pin cũng tạm , mỗi ngày sạc pin 1 lần . Bạn nào mua vì màn đẹp vs camera thì nên mua . Còn mua để chơi game thì ko nên lựa"
44,44,Sản_phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,1,29/02/2020,{OTHERS};,Sản_phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ
45,45,Sản_phẩm đẹp . Tuyệt_vời . Hi_vọng trong qtrinh sd k xảy ra lỗi . Nv nhiệt_tình . Ms,5,16/09/2019,{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,Sản_phẩm đẹp . Tuyệt_vời . Hi_vọng trong qtrinh sd k xảy ra lỗi . Nv nhiệt_tình . Ms
46,46,"Mua lâu rồi . vân tay quá kém dí mãi mới mở đc , chơi game ( vd liên_quân ) thì cảm_ứng ko nhạy rất kém , máy thì rất nóng nên thỉnh_thoảng bị đơ 1 tý ( ko phải do mạng hay fps ) lúc chơi , loa ngoài chơi game khá nhỏ . Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc .",1,7/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};,"Mua lâu rồi . vân tay quá kém dí mãi mới mở đc , chơi game ( vd liên_quân ) thì cảm_ứng ko nhạy rất kém , máy thì rất nóng nên thỉnh_thoảng bị đơ 1 tý ( ko phải do mạng hay fps ) lúc chơi , loa ngoài chơi game khá nhỏ . Nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc ."
47,47,"máy rất ok , mượt , chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi_tiền ok .",5,17/04/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Negative};,"máy rất ok , mượt , chơi game quá đỉnh.có đều pin hơi tụt nhưng cho là ok.vừa vs túi_tiền ok ."
48,48,Note10 . Bin rất tệ . Máy ko xài vẫn tuột phần_trăm . Vừa sạt đầy 100% pin . Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ . Máy mua dk 1 tuần rồi . Pin rất tệ,1,1/9/2019,{BATTERY#Negative};{OTHERS};,Note10 . Bin rất tệ . Máy ko xài vẫn tuột phần_trăm . Vừa sạt đầy 100% pin . Để đó ko xài từ ság tới tối về nhìn lại còn 40% vậy 60% pin kia ko làm dì mà sao mất nhỉ . Máy mua dk 1 tuần rồi . Pin rất tệ
49,49,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện_thoại khác bật SD,5,23/12/2019,{SCREEN#Negative};{PERFORMANCE#Positive};,mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật SD rất mờ so với điện_thoại khác bật SD
50,50,Máy rất xịn Thứ nhất : chơi game mượt với chíp snap Thứ hai : pin trâu xài cả ngày mà_còn 50% Thư ba : màn_hình đẹp chụp hình sáng,5,31/01/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,Máy rất xịn Thứ nhất : chơi game mượt với chíp snap Thứ hai : pin trâu xài cả ngày mà_còn 50% Thư ba : màn_hình đẹp chụp hình sáng
51,51,"Sp tuyệt_vời chắt mua em nó quá ... Vì chán hàng made in China rồi , người Việt dùng hàng Việt .",5,2 tuần trước,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"Sp tuyệt_vời chắt mua em nó quá ... Vì chán hàng made in China rồi , người Việt dùng hàng Việt ."
52,52,mình mới mua hồi chiều . minh vo cài_đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,5,14/08/2020,{OTHERS};,mình mới mua hồi chiều . minh vo cài_đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy
53,53,"Mọi thứ xài thì khá ok , chỉ có pin tuột nhanh kinh_khủng , không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó",1,8/2/2020,{BATTERY#Negative};{GENERAL#Positive};,"Mọi thứ xài thì khá ok , chỉ có pin tuột nhanh kinh_khủng , không xài cũng tuột 100% chực được 5p là còn 95% ý là không chưa game đó"
