,sentence,sentiment,topic
27,đôi_khi giảng_dạy quá nhiệt_tình mà quên mất cả thời_gian ( hết giờ học giảng_viên vẫn dạy thêm 10 - 15 phút ) .,0,0
28,ôn_tập kỹ trước khi thi hoặc trong lúc giảng_dạy cập_nhật đến những vấn_đề có_thể cho ra trong bài thi .,0,0
29,"sự nhiệt_tình , vui_tính của giảng_viên .",2,0
30,"thầy cho tự tìm_hiểu , và tự tìm_hiểu khác với hiểu được vấn_đề .",1,0
31,"cô dạy đều , bao_giờ cũng đến sớm và đúng giờ .",2,0
32,"thầy dạy hay và có tâm , mặc_dù môn_học lịch_sử khá khô_khan nhưng chúng_em hiểu được rất nhiều bài_học qua bài giảng của thầy .",2,0
33,mong thầy dạy tận_tâm hơn !,0,0
34,thầy chưa có sự hướng_dẫn cụ_thể .,0,0
35,không đi đúng giờ .,0,0
36,môn này khó .,0,1
37,tạm được .,1,3
38,rât tốt .,2,3
39,"khi ra đề thi thầy nên kiểm_tra kỹ nội_dung đề , tránh để sót lỗi điển_hình như doubledot tên cột của bảng trùng từ_khoá của oracle .",0,0
40,giảng_viên chưa cho sinh_viên bài_tập về nhà .,0,0
41,giảng_viên chỉ lên_lớp còn lại không hướng_dẫn nội_dung thực_hành cho sinh_viên .,0,0
42,thầy giảng bài dễ hiểu .,2,0
43,giảng bài nghe rất dễ hiểu vui_tính .,2,0
44,giảng_viên thực_hành chỉ gặp sinh_viên rất ít .,0,0
45,còn đi trễ .,0,0
46,"thầy dạy hay , demo code trực_tiếp cho sinh_viên dễ hiểu .",2,0
47,giáo_trình nên có sự trình_bày cụ_thể hơn .,0,1
48,"thầy vui_tính , chuyên_môn vững .",2,0
49,"dạy đúng đề_cương , ôn_tập sát với đề thi .",2,0
50,"cô dạy bài_tập rất tận_tình , dễ hiểu .",2,0
51,cô rất nghiêm .,0,0
52,"đề_cập về tính thực_tế , liên_quan của hệ_thống kiến_thức .",2,1
53,"mỗi khi cần giảng_giải bài_tập , kiến_thức , vấn_đề gì mà sử_dụng đến mạng wifi thì rất tệ làm tốn thời_gian của thầy và sinh_viên .",0,2
54,"thầy rất nhiệt_tình , sẵn_sàng trả_lời câu hỏi sinh_viên .",2,0
55,nhà_trường nên cập_nhật visual studio lên phiên_bản mới nhất để tụi em thực_hành tốt hơn .,0,2
56,em hy_vọng nhà_trường cải_thiện lại các máy trong phòng thực_hành để tương_ứng với số tiền đối_với số chỉ_thực hành .,0,1
57,quá khó_khăn trong việc báo_cáo bài .,0,0
58,"cô dạy đến hơi thở cuối_cùng , rất tận_tâm với sinh_viên , sinh_viên không rõ vấn_đề gì đề giải_thích cặn_kẽ , lâu_lâu trong giờ học kể những vấn_đề có liên_quan tới môn_học giúp cho sinh_viên định_hướng được học môn này để làm gì tạo hứng_thú cho sinh_viên học_tập , đặc_biệt cô có giờ tiếp sinh_viên định_kỳ để để hỗ_trợ sinh_viên em rất thích điều này .",2,0
59,ngoài_ra cung_cấp một_vài thông_tin bổ_sung về việc học công_nghệ_thông_tin hiệu_quả hơn .,2,1
60,cô dạy nhiệt_tình và dễ hiểu .,2,0
61,"giảng dễ hiểu , cho bài_tập đầy_đủ .",2,0
62,"thầy vui_tính , rất nhiệt_tình với sinh_viên .",2,0
63,sự nhiệt_tình và liên_hệ thực_tế của giáo_viên .,2,0
64,tận_tình chỉ_bảo .,2,0
65,"mong giảng_viên có_thể liên_hệ bài_học với thực_tế , cho ví_dụ nhiều hơn sinh_viên có_thể hiểu được bài .",0,0
66,giảng_viên giảng nhiều bài_tập và tăng_cường ôn_tập ngữ_pháp và luyện nói .,2,0
67,"tụi em tới để học chứ không phải để nghe cô chê_bai người việt này_nọ lọ chai , không phải để nghe việc cô đi dạy người nước_ngoài nói tiếng việt , cô cũng đừng đánh_giá người ta nói cái gì cho cả một tập_thể .",0,0
68,đề thi khó .,0,1
69,không check mail mỗi khi hỏi bài .,0,0
70,nhiều tài_liệu hữu_ích .,2,1
71,"đồ_án cuối kỳ trong vòng một tháng cuối , áp_dụng được quy_trình thực_tế .",2,1
72,thúc_đẩy sinh_viên tự học đạt điểm_cao trong các kỳ thi .,2,1
73,"thì hiện_nay khoá 5 đang học môn này có cảm_nhận vẫn còn là con "" chuột_bạch "" thử_nghiệm cho môn_học .",0,1
74,"thầy rất nhiệt_tình , vui_tính , dạy dễ hiểu và cặn_kẽ .",2,0
75,giảng_viên nói tiếng anh không hay .,0,0
76,các công_thức đã có sự đổi_mới nên cô cần cập_nhật thêm ( betweenness centrality và closeness centrality ) tránh áp_đặt kiến_thức lên sinh_viên .,0,0
77,thầy không quan_tâm đến học_sinh .,0,0
78,"mong nhà_trường cần nâng_cấp các phòng thực_hành , và phong lab khoa .",0,2
79,"nhưng cách truyền_đạt và cách dạy_học rất buồn_ngủ , không hiệu_quả , rắc_rối .",0,0
80,"giảng_viên vui_vẻ , thoải_mái trong giờ học , không gây áp_lực .",2,0
81,không dễ_tính .,0,0
82,"giảng rất hay và dễ hiểu , giúp cho sinh_viên nắm vững kiến_thức .",2,0
83,"giảng_viên giảng_dạy nhiệt_tình , có đầy_đủ các hoạt_động để sinh_viên rèn_luyện và học_tập .",2,0
84,"giảng_viên không dạy phần trọng_tâm của môn_học , dạy quá dài_dòng , và cần hạn_chế viết bảng .",0,0
85,"giảng_viên chưa giải hết thắc_mắc của sinh_viên , còn một_vài vấn_đề chưa hiểu rõ .",0,0
86,"cô dạy vui , dễ hiểu .",2,0
87,được 200 điểm là đươc 1 điểm quá_trình .,1,1
88,chất_lượng tốt .,2,3
89,tôi thấy rất bất_mãn về việc giảng_dạy của giảng_viên mong nhà_trường chấn_chỉnh lại việt này .,0,0
90,"giảng_viên giảng_dạy dễ hiểu , nhanh tiếp_thu bài , đưa ra các ví_dụ và bài_tập hay .",2,0
91,thầy giảng bài quá buồn_ngủ .,0,0
92,"thầy vui_tính , dạy rất dễ hiểu và rất nhiệt_tình .",2,0
93,các bài thực_hành cần bám sát theo chương_trình lý_thuyết .,0,1
94,tài_liệu được cấp thông_qua lớp trưởng .,1,1
95,"nhiệt_tình , tài_liệu đầy_đủ dễ đọc dễ hiểu .",2,0
96,thầy vui_tính trong việc dạy .,2,0
97,"thầy rất tân_tâm , vui_vẻ , và có khả_năng truyền_đạt kiến_thức .",2,0
98,"slide bài giảng đầy_đủ rõ_ràng , giáo_viên đúng giờ .",2,0
99,cô vui_vẻ trong giảng_dạy .,2,0
100,"tận_tình , chu_đáo , hiểu tâm_lý sinh_viên .",2,0
101,"giảng_viên giảng_dạy tận_tâm , nhiệt_huyết .",2,0
102,"giáo_viên dễ gần , phương_pháp dạy dể tiếp_thu .",2,0
103,"thầy mở máy_lạnh lạnh quá ạ , mong thầy bật máy_lạnh vừa_phải thôi !",0,0
104,giảng_viên nên trình_bày mẫu các bài giải nhiều hơn .,0,0
105,dành ra những tiết thực_hành nghe nói_riêng tạo sự tự_nhiên cho sinh_viên khi giao_tiếp bằng tiếng anh .,2,1
106,cô_giáo xinh .,2,0
107,"giảng hay , dễ hiểu .",2,0
108,thầy dạy cho nhiều dạng bài_tập ví_dụ hay giúp em hiểu rõ hơn môn mạng .,2,0
109,chia_sẻ kiến_thức thực_tế cho sinh_viên .,2,3
110,"thầy cũng vui_tính , nói_chuyện liên_hệ thực_tiễn cao .",2,0
111,"nội_dung không sâu , sơ_sài .",0,1
112,"giáo_viên nhiệt_tình , thân_thiện .",2,0
113,chủ_yếu dựa vào năng_lực tự học của sinh_viên .,0,0
114,"đúng giờ , tận_tình .",2,0
115,thầy lên_lớp đúng giờ .,2,0
116,"giọng cô khó nghe , cô truyền_đạt chưa hay , giảng nhanh .",0,0
117,sự nhiệt_tình .,1,0
118,"thầy cho ít bài_tập để làm , toàn_bộ bài_tập em làm đều là do các bạn ở lớp khác chia_sẻ .",0,0
119,thầy dạy rất truyền_cảm .,2,0
120,thầy rất đúng giờ .,2,0
121,cô có tổ_chức một hoạt_động về anh văn nhưng em thấy chưa thực_sự có hiệu_quả ( đó là ý_kiến cá_nhân của em ) .,0,0
122,"giảng khó hiểu , nhưng phần_lớn là do môn giải_tích khó .",0,0
123,"cô tạo được một môi_trường học_tập rất thân_thiện , thoải_mái và không kém phần bổ_ích cho sinh_viên , hy_vọng cô sẽ dạy nhiều hơn .",2,0
124,khi nào sinh_viên chưa hiểu đều giảng nhiệt_tình .,2,0
125,thầy dịch slide và giảng khó hiểu .,0,0
126,không đăng slide bài giảng lên course .,0,0
127,cẩn_thận .,1,0
128,thầy cần chủ_động về thời_gian .,0,0
129,"thầy_giáo tích_cực , tâm_lý .",2,0
130,"thầy tận_tâm , nhiệt_tình với sinh_viên .",2,0
131,thầy dạy bám sát nội_dung cần_thiết nhiệt_tình .,2,0
132,em mong thầy sẽ cung_cấp chúng_em nhiều tài_liệu chính_thống hơn để chúng_em có_thể dễ_dàng tìm_hiểu kiến_thức môn_học .,0,0
133,"cô dạy nhiệt_tình , thường_xuyên chia_sẻ bài trên website môn_học .",2,0
134,đã là chủ_nhật còn bắt đi học .,0,1
135,thầy nhiệt_tình giảng bài !,2,0
136,quá nhiều nội_dung không cần_thiết .,0,1
137,thầy giảng kỹ bài .,2,0
138,"cô nhiệt_tình với sinh_viên , vui_vẻ .",2,0
139,"thầy dạy vui_tính , không áp_lực .",2,0
140,"việc truyền_đạt kiến_thức theo lối bình_dân , khiến sinh_viên khó hình_dung , nắm_bắt được mình đang được truyền_đạt điều gì .",0,0
141,và nội_dung đó không giúp sinh_viên sau_này nhiều .,0,1
142,"thầy giảng bài rất nhiệt_tình , có các ví_dụ minh_hoạ để làm rõ vấn_đề .",2,0
143,các bài_tập thực_hành giúp nâng cao kiến thức đã học trên lớp .,2,1
144,báo nghỉ không đại_trà .,0,0
145,"cô dạy hay tuyệt , rất dễ hiểu .",2,0
146,thầy giao đồ_án cho sinh_viên tự bơi .,0,0
147,"dạy đúng giờ , thường_xuyên đưa bài_tập lên moodle , tạo cơ_hội cho học_sinh rèn_luyện kỹ_năng nghe và nói nhiều .",2,0
148,giảng_viên giảng chưa được thú_vị .,0,0
149,em muốn thầy dạy và sửa bài_tập .,0,0
150,đừng có một chỗ tiếng anh một chỗ tiếng việt .,0,3
151,giảng_dạy hay dễ hiểu .,2,0
152,cần sử_dụng phòng elab và các thiết_bị nghe_nhìn cho lớp chất_lượng cao .,0,2
153,thầy nhiệt_tình trong cách giảng_dạy .,2,0
154,"theo như danh_sách phòng đào_tạo đưa xuống , lớp_học có gần 140 sinh_viên đăng_kí .",1,3
155,môn này là môn quan_trọng trong truyền_thông nên cần thực_hành trên phần_mềm và thiết_bị mô_phỏng nhiều hơn .,0,1
156,giảng_viên giảng_dạy theo đúng quy_trình .,1,0
157,"hiện_tại tương_đối tốt , không cần điều_chỉnh gì thêm .",2,3
158,"giảng_dạy tận_tâm , nhiệt_tình , hay .",2,0
159,vui_tính hoà_đồng .,2,0
160,"giảng_viên thường cho một_số bài_tập nâng cao , hơi quá_sức đối_với tụi em .",0,0
161,"thầy khá hiền , ít nói .",0,0
162,"cô dạy dễ hiểu , bài giảng sống_động .",2,0
163,"thầy cho bài_tập về quá nhiều , thời_gian cố_định , ngắn nên không đủ thời_gian để làm bài .",0,0
164,"giáo_viên dạy tận_tình , dễ hiểu , hay giải_đáp những thắc_mắc của sinh_viên về môn_học .",2,0
165,nhà_trường nên có nhiều giáo_trình bài_tập và hướng_dẫn giải bài_tập nhiều hơn .,0,1
166,"tận_tâm , nhiệt_tình giải_đáp thắc_mắc trong quá_trình học .",2,0
167,"thầy dạy vui , không khô_khan , liên_tưởng tốt .",2,0
168,tệ đến mức không tả được .,0,3
169,"giảng_viên diễn_đạt quá nhanh , lớp thường rất đông , rất thiệt_thòi cho sinh_viên ngồi cuối lớp do không nhìn thấy nội_dung bài giảng .",0,0
170,thầy không cho slide bài giảng cũng không giới_thiệu tài_liệu đọc thêm .,0,0
171,nếu là điểm cố_định thì thầy phải cho cơ_hội cho tất_cả các sinh_viên đều nộp bài được và giải_thích rõ_ràng khung điểm này từ đầu .,0,0
172,thầy tiếp_tục giảng bài .,1,0
173,"tài_liệu thầy cung_cấp đầy_đủ , cụ_thể .",2,0
174,cực_kỳ nhiệt_tình .,2,3
175,"thầy ít có giảng về bài_tập , chỉ cho sinh_viên tự tìm_hiểu .",2,0
176,giáo_viên có kiến_thức tốt .,2,0
177,"nhờ thầy cho bài_tập và sửa thầy không làm , và cũng giảng nhưng_mà để làm được bài thì em muốn có được cách làm rõ_ràng .",0,0
178,"học thầy rất là vui , mà_còn biết thêm nhiều cái hay nữa .",2,0
179,có_thể tổ_chức các buổi seminar nhằm kích_thích sinh_viên tìm_hiểu thêm và ứng_dụng tốt hơn môn_học này vào thực_tiễn .,2,1
180,"thầy giảng bài khá là dễ hiểu , chậm nhưng chắc .",2,0
181,"dạy dễ hiểu , và cung_cấp thêm những phương_pháp học_tập hiệu_quả .",2,0
182,"cô dạy rất dễ_thương , dễ hiểu , nắm chắc kiến_thức .",2,0
183,"thầy giảng_dạy nhiệt_tình , hăng_say !",2,0
184,"thêm nữa , thầy cũng không muốn nhìn thấy một sinh_viên ngủ gục trên bàn mà vẫn có tên trong danh_sách điểm_danh .",0,0
185,thầy dạy dễ hiểu tận_tâm nhiệt_tình với sinh_viên .,2,0
186,giải bài_tập cho sinh_viên nhiều .,2,3
187,môn mạng máy_tính còn nặng_nề lý_thuyết rất nhiều .,0,1
188,thầy giảng bài rất hay !,2,0
189,không áp_lực khi học_tập .,1,0
190,"tiết học căng_thẳng , phải thường_xuyên đúng giờ .",0,0
191,"nhưng thầy rất ra_dáng một doanh_nhân thành_đạt , một người diễn_thuyết tạo cảm_hứng nhiều hơn là kiến_thức phù_hợp với sinh_viên .",2,0
192,thầy lồng_ghép ví_dụ thực_tiễn vào bài_học .,2,0
193,"cô dạy nhiệt_tình và có tâm_huyết , dễ hiểu , cô dạy rất hay và cung_cấp cho em nhiều kiến_thức , trình_độ của cô rất giỏi .",2,0
194,nâng_cấp hệ_thống loa cho các phòng học .,0,2
195,"giảng_viên nhiệt_tình , tâm_huyết , giảng_dạy tốt .",2,0
196,đề_nghị trừ lương .,0,0
197,"thầy dạy hay nhưng không ôn_tập thi giữa kỳ , cuối kỳ cho sinh_viên .",0,0
198,thầy dạy hay và tận_tâm với em .,2,0
199,"nhiệt_tình , tận_tâm , giảng dễ hiểu .",2,0
200,"em thích cách dạy của thầy , làm bài_tập sau khi giảng xong lý_thuyết cho sinh_viên có_thể nhớ ngay hôm ấy không cần về nhà coi lại bài .",2,3
201,giảng_viên cần đảm_bảo thời_gian lên_lớp .,0,0
202,giảng_viên cho bài_tập bám sát nội_dung giảng_dạy .,2,0
203,giảng_viên nhiệt_tình !,2,0
204,máy_chiếu tại phòng học còn mờ .,0,2
205,viết quá nhiều ví_dụ trùng_lặp ( dạng ) với nhau .,0,0
206,tài_liệu môn mạng máy_tính được dịch từ computer networking a topdown aproach còn hơi khó hiểu để sinh_viên học hay tự nghiên_cứu .,0,1
207,thầy rất nhiệt_tình giảng_dạy .,2,0
208,"em mong_muốn được nghe thầy kể nhiều câu_chuyện về sự_nghiệp và cuộc_đời , gian_nan từng_trải của thầy trong các bài_học nhiều hơn_nữa , có lẻ sinh_viên sẽ học được nhiều điều hơn .",0,0
209,"em thấy lúc giảng , thầy chỉ ngồi yên trên ghế và đọc slide dẫn đến sinh_viên cảm_thấy nhàm_chán .",0,0
210,thầy dạy rất dễ hiểu .,2,0
211,"dạy chắc_chắn kiến_thức , truyền_đạt tốt .",2,0
212,"thầy dạy rất hay , quan_tâm học_sinh .",2,0
213,giáo_trình môn_học được cập_nhật .,2,1
214,thầy thường_xuyên đặt ra những deadline không phù_hợp với sinh_viên .,0,0
215,phương_pháp dạy thực_hành rất hay .,2,0
216,"giảng_viên tận_tâm , nhiệt_tình , dễ_tính , lên_lớp đúng giờ .",2,0
217,quá khắt_khe colonsad .,0,3
218,em mới gặp thầy buổi thực_hành cũng là buổi thi .,1,1
219,"cô dạy hay , lại rất đúng giờ dạy_học .",2,0
220,giải_đáp rất tận_tình mọi thắc_mắc của sinh_viên .,2,0
221,"cô dễ_thương , tận_tâm với sinh_viên .",2,0
222,cách giảng của thầy hơi đều và chậm .,0,0
223,"giảng_viên nhiệt_tình , tạo nhiều hoạt_động cho lớp .",2,0
224,cần thể_hiện chi_tiết hơn nội_dung của môn_học và nhiều ví_dụ minh_hoạ hơn .,0,1
225,không đảm_bảo giờ lên_lớp .,0,0
226,"mỗi khi báo_cáo tiến_độ đồ_án trong năm_học , giảng_viên chỉ chỉ ra duy_nhất một lỗi trong đồ_án cho sinh_viên , mà không xem toàn_bộ đồ_án để góp_ý cho sinh_viên mọi sai_sót để sinh_viên khắc_phục trong lần báo_cáo cuối kỳ .",0,0
227,quá tệ .,0,3
228,"giảng_viên tận_tâm , nhiệt_tình , vui_vẻ .",2,0
229,tăng thêm thời_lượng môn_học .,0,1
230,giúp học_sinh chủ_động trong việc thực_hiện đề_tài và nhiệt_tình giúp_đỡ sinh_viên tìm tài_liệu .,2,1
231,cung_cấp nhiều kiến_thức bổ_ích cho sinh_viên .,2,0
232,"giảng_viên nhiệt_tình trong giảng_dạy , hệ_thống tài_liệu học_tập được update tốt .",2,0
233,giáo_viên nhiệt_tình giảng_dạy .,2,0
234,thầy dạy rất nhiều điều bổ_ích từ học_tập đến cuộc_sống ngoài đời .,2,0
235,"cách diễn_đạt dễ hiểu , vui_vẻ , tận_tình với học_sinh .",2,0
236,"hay đi trễ , dạy lố thời_gian .",0,0
237,tận_tình chu_đáo dễ hiểu .,2,0
238,giải_đáp thắc_mắc sinh_viên kỹ_lưỡng .,2,0
239,"phần đầu môn này nói về những chủ_đề đại_loại như "" làm thế_nào để thành_công "" , "" thói_quen người thành_công "" hay_là bàn về tương_lai vdotv .",1,3
240,"dạy nhiệt_tình , vui_vẻ trong giờ học .",2,0
241,như_vậy là được .,2,3
242,thấy rất vui_tính .,2,0
243,"giảng_dạy quoa loa , thiếu nhiệt_tình , chương_trình học hoàn_toàn không ăn_khớp với lý_thuyết .",0,0
244,giảng_viên nên dạy kỹ hơn các phần quan_trọng của bài_học .,0,0
245,"giáo_viên không nhiệt_tình , tận_tâm với sinh_viên .",0,0
246,"môn_học này không có sắp_xếp lịch học , phòng học .",0,1
247,"nhiều bạn phải học tiết 4 , 5 phải nghỉ giữa_chừng để đi học môn khác như tư_tưởng .",0,1
248,khả_năng tiếng anh .,1,3
249,không công_bố điểm giữa kỳ sớm .,0,1
250,nên giảng những phần cần chú_trọng nhiều hơn .,0,0
251,phương_pháp giảng tốt .,2,0
252,thầy dạy dễ hiểu !,2,0
253,"thầy lên_lớp rất trễ , giờ học bắt_đầu vào lúc 13h00 thì có hôm 13h30 hoặc 14h00 thầy mới vô .",0,0
254,"thầy dạy hay , cung_cấp thông_tin rất chi_tiết , ví_dụ dễ hiểu .",2,0
255,"giảng_viên vui_vẻ , giảng_dạy tận_tâm , đến lớp đầy_đủ đúng giờ .",2,0
256,giảng_viên tận_tâm nhiệt_tình vui_vẻ .,2,0
257,giọng nói_khó truyền_đạt kiến_thức một_cách hiệu_quả nhất .,0,0
258,học còn khá tẻ_nhạt .,0,3
259,"giọng nói hơi nhỏ , khó tiếp_thu !",0,0
260,"dạy rất kỹ , rất nhiệt_tình , thêm giờ để hoàn_thành xong bài giảng , hỏi_han sinh_viên , nói_chung là rất tuyệt .",2,0
261,thực_hành nhiều hơn .,0,1
262,"tiết học vui_vẻ , thoải_mái , thầy dạy nhiệt_tình , dễ tiếp_thu .",2,0
263,nhiều phần nâng cao thường bị giảng_viên bỏ_qua .,0,0
264,dời lịch hẹn gặp sinh_viên nhưng không thông_báo .,0,0
265,"phòng học , micro , máy_chiếu cần nâng_cấp và cải_thiện và bảo_trì thường_xuyên hơn .",0,2
266,tận_dụng hết thời_gian .,2,0
267,"thầy dạy tận_tâm , nhiệt_tình , tạo nhiều điều_kiện giúp_đỡ , hỗ_trợ sinh_viên học_tập tốt môn_học .",2,0
268,đôi_lúc giảng quá nhanh .,0,0
269,"thầy dạy với tư_tưởng là sinh_viên biết hết cả rồi , lên giảng_dạy chỉ nói vài chỗ .",0,0
270,cần đổi_mới tài_liệu .,0,1
271,do_đó làm hiệu_quả học chưa đạt mức tốt nhất .,0,3
272,"tận_tâm , nhiệt_tình giảng_dạy , tiết học có lồng_ghép nhiều chuyện đời vui_vẻ , lý_thú , không gây buồn_ngủ .",2,0
273,"hoạt_động dạy và học rất sôi_nổi , rất tận_tâm và nhiệt_huyết !",2,3
274,"nhiệt_tình , tạo không_khí học_tập tốt .",2,0
275,thầy nên up các bài giải lên để em so_sánh kết_quả cho dễ .,0,0
276,"cơ sơ vật_chất tốt , giảng hay .",2,0
277,"em nghĩ nhà_trường nên nâng_cấp phiên_bản của sql vì sql 2005 mà nhà_trường đang cho sinh_viên thực_hành còn thiếu_sót nhiều chức_năng , hỗ_trợ .",0,2
278,"giảng_viên cũng hỗ_trợ nhiều kiến_thức cho sinh_viên , giúp sinh_viên hiểu bài tốt hơn .",2,0
279,dạy nói hơi nhỏ .,0,0
280,em thấy cô dạy rất hay .,2,0
281,thầy dạy rất nhiệt_tình .,2,0
282,"sinh_viên lớp chất_lượng cao nhưng lại xếp thi phòng thực_hành của lớp thường , việc cấu_hình máy mất hơn nửa tiếng cho cả lớp , chưa kể còn nhiều bất_cập khi làm bài thi .",0,2
283,"cách truyền_đạt kiến_thức dễ hiểu , sự hài_hước vui_vẻ .",2,0
284,"phương_pháp dạy của thầy rất hay , cho điểm rất rõ_ràng .",2,0
285,tận_tình nhiệt_huyết .,2,0
286,"giáo_viên giảng bài dễ hiểu , nhiệt_tình .",2,0
287,"tận_tâm , nhiệt_tình , đúng giờ .",2,0
288,"cô nhiệt_tình , tận_tâm , dạy dễ hiểu , quan_tâm học_sinh , lớp hoạt_động sôi_nổi , phát_âm dễ nghe , dễ hiểu .",2,0
289,"giáo_viên dạy nhiệt_tình , dễ hiểu .",2,0
290,cách_thức diễn_đạt chưa đạt hiệu_quả tốt .,0,0
291,nội_dung bài giảng khó hiểu .,0,0
292,không hài_lòng với sự_cố gắng của bản_thân mình .,0,3
293,lịch học bù không phù_hợp với sinh_viên .,0,0
294,một người thầy như_vậy thì làm_sao có_thể dạy được học_sinh tốt .,0,0
295,"đúng từng câu chữ thì ok , còn lại failse .",0,1
296,good .,2,0
297,khó_tính .,0,0
298,do học khoa khác nên dạy không theo kịp tiếng độ của chương_trình .,0,0
299,"giảng_viên dạy hay , tận_tâm , dễ hiểu bài .",2,0
300,giảng_viên tận_tâm và nhiệt_tình .,2,0
301,quan tấm sinh_viên nhiều hơn .,0,0
302,giáo_viên nên làm nhiều bài_tập mẫu cho sinh_viên .,0,0
303,không nên dừng lại chỉ ở mức khái_niệm .,0,1
304,"mong_muốn nhà_trường , khoa cùng giảng_viên có_thể thay_đổi nội_dung sao cho hấp_dẫn hơn .",0,1
305,nhiệt_tình yêu nghề .,2,0
306,"ít kinh_nghiệm , dạy khó hiểu , kỹ_năng giao_tiếp kém , giảng bài cực khó hiểu .",0,0
307,"dễ hiểu , tích_cực trong việc giải_đáp thông_tin của học_sinh .",2,0
308,thầy thân_thiện .,2,0
309,hướng_dẫn dạy_học tận_tình .,2,0
310,speaking vừa_rồi cô không công_bằng .,0,3
311,"em không_thể nghe được thầy nói gì do khác vùng miền , cách giảng_dạy chưa có sức hấp_dẫn .",0,0
312,"cần giảm bớt căng_thẳng , dồn_dập tiết học .",0,1
313,cô hướng_dẫn làm đồ_án rất nhiệt_tình .,2,0
314,"thầy giảng hay , dễ hiểu , có nhiều ví_dụ .",2,0
315,"thầy dạy nhiệt_tình , kiến_thức bộ_môn chuyên_sâu , cần phát_huy .",2,0
316,"giảng_viên giảng_dạy tốt , dễ hiểu .",2,0
317,"giảng_viên giảng bài khó hiểu , đặt nặng lý_thuyết khiến sinh_viên khó hiểu dễ gây chán_nản .",0,0
318,"nhiệt_tình , nhưng đôi_khi quá nhiệt_tình , giảng bài một_cách quá nhiều khiến em không_thể nhớ hết được .",0,0
319,ôn kiến_thức bằng cách chơi trò_chơi .,2,1
320,môn này thầy dạy rất mơ_hồ .,0,0
321,môn_học cần phải gần_gũi với thực_tiễn ở việt_nam .,0,1
322,"cô rất nhiệt_tình , tận_tâm và gần_gũi .",2,0
323,giảng_viên dạy rất dễ hiều .,2,0
324,"thầy có lòng giúp sinh_viên , rất tốt .",2,0
325,cần tạo cảm_hứng học hơn cho sinh_viên .,0,0
326,sau môn_học toàn kiến_thức lý_thuyết mà không biết vận_dụng kiến_thức đó như_thế_nào .,0,1
327,mini test trong cả khoá học nhiều hơn .,0,2
328,đồ_án thầy phân_tích rất chuyên_sâu .,2,0
329,thầy cần sử_dụng máy_chiếu khi giảng bài vì lớp khá đông !,0,0
330,"thầy giảng_dạy những phần kiến_thức có hơi cao , sinh_viên không nắm_bắt kịp .",2,0
331,cần lắp thêm quạt và màn che cửa_sổ .,0,2
332,"thầy ơi , giảng bài cho tụi em đi !",0,0
